Station,Network,Name,Latitude,Longitude,Elevation,Depth,Datum,Start Date,End Date
025A,SM,Hawera High School,-39.584949183,174.273464776,100,,WGS84,1994-09-19T00:00:00Z,2002-03-13T00:00:00Z
027A,SM,Napier Telephone Exchange Marewa,-39.504553459,176.895997519,14,,WGS84,1966-01-24T00:00:00Z,1973-03-28T00:00:00Z
027C,SM,Napier Telephone Exchange Marewa,-39.504553459,176.895997519,14,,WGS84,1973-03-28T00:00:00Z,1987-07-15T00:00:00Z
027D,SM,Napier Telephone Exchange Marewa,-39.504653461,176.895997519,14,,WGS84,1987-07-15T00:00:00Z,1988-04-12T00:00:00Z
027E,SM,Napier Museum,-39.488553176,176.919097862,20,,WGS84,1988-04-12T00:00:00Z,1994-12-06T00:00:00Z
027F,SM,Napier Museum,-39.488553176,176.918997861,20,,WGS84,1994-12-06T00:00:00Z,1996-07-08T00:00:00Z
027G,SM,Napier Museum,-39.488553176,176.918997861,20,,WGS84,1996-07-08T00:00:00Z,2002-04-22T00:00:00Z
028A,SM,Opotiki Shell Service Station,-38.007924686,177.284007421,3,,WGS84,1991-08-03T00:00:00Z,1994-12-11T00:00:00Z
029A,SM,Hastings Civil Defence Headquarters,-39.645456278,176.842996361,10,,WGS84,1989-08-08T00:00:00Z,2002-04-24T00:00:00Z
030A,SM,Opotiki Fruit Bowl,-38.009024677,177.26940724,20,,WGS84,1994-12-11T00:00:00Z,2002-08-01T00:00:00Z
031A,SM,Wanganui Police Station,-39.930458304,175.054373069,20,,WGS84,1982-10-16T00:00:00Z,1983-12-05T00:00:00Z
032A,SM,Waipawa Post Office,-39.942461994,176.587392109,140,,WGS84,1981-07-01T00:00:00Z,2005-06-23T00:00:00Z
033A,SM,Dannevirke Telephone Exchange,-40.208766639,176.098485017,200,,WGS84,1980-03-24T00:00:00Z,1990-04-03T00:00:00Z
033B,SM,Dannevirke Telephone Exchange,-40.208866641,176.098485017,200,,WGS84,1990-02-20T00:00:00Z,1990-04-03T00:00:00Z
033C,SM,Dannevirke Post Office,-40.210266664,176.095484974,200,,WGS84,1990-04-03T00:00:00Z,2001-01-09T00:00:00Z
034A,SM,Weber School,-40.398271231,176.313987007,140,,WGS84,1990-02-20T00:00:00Z,1995-08-07T00:00:00Z
035A,SM,Weber Fire Station,-40.401071285,176.310486953,140,,WGS84,1995-08-07T00:00:00Z,2001-06-11T00:00:00Z
037A,SM,Dannevirke Mail Room,-40.209066649,176.100485041,200,,WGS84,2001-06-11T00:00:00Z,2002-07-29T00:00:00Z
038A,SM,Castlepoint Fire Station,-40.898782125,176.220983947,20,,WGS84,1994-12-05T00:00:00Z,2001-06-26T00:00:00Z
039A,SM,Masterton Telephone Exchange,-40.948281991,175.659576658,120,,WGS84,1966-09-21T00:00:00Z,1986-04-30T00:00:00Z
039C,SM,Masterton Telephone Exchange,-40.948281991,175.659576658,120,,WGS84,1976-06-01T00:00:00Z,1979-05-01T00:00:00Z
039D,SM,Masterton Telephone Exchange,-40.948281991,175.659676659,120,,WGS84,1986-04-30T00:00:00Z,2002-08-29T00:00:00Z
039E,SM,Masterton Telecom,-40.948281991,175.659676659,120,,WGS84,1989-04-13T00:00:00Z,2002-07-29T00:00:00Z
040A,SM,Ngawihi Fish Processing Factory,-41.576295417,175.226868649,20,,WGS84,1990-10-16T00:00:00Z,2001-12-12T00:00:00Z
041A,SM,Lake Ferry Fire Station,-41.389090883,175.14646839,20,,WGS84,1990-10-16T00:00:00Z,1990-11-15T00:00:00Z
042A,SM,Hanmer Springs Fire Station,-42.523312238,172.830433813,360,,WGS84,1990-10-12T00:00:00Z,2000-05-09T00:00:00Z
042B,SM,Hanmer Springs Emergency Centre,-42.523312238,172.830133809,360,,WGS84,2000-11-14T00:00:00Z,2002-02-24T00:00:00Z
043A,SM,Dunedin GNS,-45.862594802,170.513885736,20,,WGS84,1990-10-10T00:00:00Z,1994-02-24T00:00:00Z
043B,SM,Dunedin GNS,-45.862594802,170.513985738,20,,WGS84,1994-02-24T00:00:00Z,2002-06-09T00:00:00Z
044A,SM,Dunedin St. Kilda Fire Station,-45.898395816,170.509285464,20,,WGS84,1990-10-10T00:00:00Z,2002-06-08T00:00:00Z
045A,SM,Nelson Telephone Exchange,-41.271083656,173.283245302,20,,WGS84,1970-05-26T00:00:00Z,1991-10-08T00:00:00Z
046A,SM,Nelson Council Building,-41.271083656,173.2831453,20,,WGS84,1991-10-08T00:00:00Z,2002-10-07T00:00:00Z
047A,SM,Nelson Employment Resource Centre,-41.275783768,173.284645298,20,,WGS84,1993-03-02T00:00:00Z,1993-11-01T00:00:00Z
048A,SM,Blenheim Telephone Exchange,-41.513890944,173.957052761,9,,WGS84,1969-11-04T00:00:00Z,1973-10-18T00:00:00Z
048B,SM,Blenheim Telephone Exchange,-41.513890944,173.957052761,9,,WGS84,1973-10-18T00:00:00Z,1976-06-29T00:00:00Z
048C,SM,Blenheim Telephone Exchange,-41.513790942,173.957152763,9,,WGS84,1976-06-29T00:00:00Z,1985-08-22T00:00:00Z
048D,SM,Blenheim Post Office,-41.513790942,173.957152763,9,,WGS84,1985-08-28T00:00:00Z,2002-10-24T00:00:00Z
049A,SM,Inchbonnie,-42.687512864,171.541816478,160,,WGS84,1995-10-25T00:00:00Z,2001-08-28T00:00:00Z
050A,SM,Motueka DOC,-41.124579612,173.009642508,5,,WGS84,1993-03-03T00:00:00Z,2002-10-09T00:00:00Z
051A,SM,Westport Telephone Exchange,-41.755490513,171.598921795,5,,WGS84,1966-11-16T00:00:00Z,1987-11-23T00:00:00Z
051B,SM,Westport Telephone Exchange,-41.755490513,171.598921795,5,,WGS84,1987-11-23T00:00:00Z,1991-10-10T00:00:00Z
051C,SM,Westport Telephone Exchange,-41.755490513,171.598921795,5,,WGS84,1991-10-10T00:00:00Z,1993-03-04T00:00:00Z
051D,SM,Westport Buller District Council,-41.755490513,171.598921795,5,,WGS84,1993-03-04T00:00:00Z,2002-04-16T00:00:00Z
052A,SM,Reefton Forestry Headquarters,-42.11659981,171.86042336,200,,WGS84,1971-08-19T00:00:00Z,1995-04-06T00:00:00Z
053A,SM,Maruia Springs Hotel,-42.378607404,172.332928123,580,,WGS84,1969-11-02T00:00:00Z,1979-02-18T00:00:00Z
054A,SM,Haast DOC workshop,-43.882536123,169.04307787,20,,WGS84,1993-03-06T00:00:00Z,2002-04-11T00:00:00Z
055A,SM,Greymouth Telecom,-42.448806087,171.210613443,20,,WGS84,1991-10-11T00:00:00Z,2002-04-19T00:00:00Z
056A,SM,Nelson Substation,-41.275783769,173.285145305,20,,WGS84,1993-11-01T00:00:00Z,2002-10-07T00:00:00Z
057A,SM,Hokitika Post Office,-42.71781202,170.964308929,6,,WGS84,1969-10-31T00:00:00Z,1989-03-03T00:00:00Z
057B,SM,Hokitika Telecom Line Depot,-42.71631198,170.963408925,20,,WGS84,1989-03-03T00:00:00Z,1992-06-19T00:00:00Z
057C,SM,Hokitika Medical Centre,-42.71661199,170.964008932,20,,WGS84,1993-03-05T00:00:00Z,2001-11-12T00:00:00Z
058A,SM,Reefton DOC Centre,-42.119699895,171.864323394,200,,WGS84,1995-04-06T00:00:00Z,2002-02-25T00:00:00Z
059A,SX,Cobb Dam,-41.094078158,172.714038932,780,,WGS84,1995-10-25T00:00:00Z,2012-12-31T23:59:59Z
060A,SM,Cheviot Post Office,-42.813020531,173.273238159,60,,WGS84,1966-11-17T00:00:00Z,1997-06-22T00:00:00Z
060B,SM,Cheviot Police Station,-42.814120558,173.273238154,60,,WGS84,1993-06-25T00:00:00Z,1994-10-14T00:00:00Z
060C,SM,Cheviot Emergency Centre,-42.814120558,173.273238154,60,,WGS84,1997-06-22T00:00:00Z,2002-02-23T00:00:00Z
061A,SM,Waitaha Valley,-43.074720298,170.735904147,80,,WGS84,1997-10-17T00:00:00Z,1999-05-26T00:00:00Z
061B,SM,Waitaha Valley,-43.074720298,170.735904147,80,,WGS84,1999-05-26T00:00:00Z,2003-09-08T00:00:00Z
062A,SM,Franz Josef DOC,-43.388026694,170.187595415,180,,WGS84,1997-10-17T00:00:00Z,2002-04-14T00:00:00Z
063A,SM,Mount Mary,-44.135046433,170.279492505,960,,WGS84,1985-05-01T00:00:00Z,1996-02-16T00:00:00Z
064A,SM,Mount Cook National Park Headquarters,-43.733835355,170.095392331,760,,WGS84,1983-05-21T00:00:00Z,2002-07-03T00:00:00Z
065A,SM,Simons Pass,-44.198348078,170.266791987,540,,WGS84,1996-02-16T00:00:00Z,2004-03-20T00:00:00Z
066A,SM,Lake Paringa,-43.705032644,169.427883856,20,,WGS84,1997-10-18T00:00:00Z,1999-09-18T00:00:00Z
066B,SM,Lake Paringa,-43.705032644,169.427883856,20,,WGS84,1999-09-18T00:00:00Z,2003-01-10T00:00:00Z
067A,SX,Opuha Dam,-44.000244606,170.890401223,380,,WGS84,1998-02-26T00:00:00Z,1998-06-02T00:00:00Z
067B,SX,Opuha Dam,-44.000722623,170.891982241,360,,WGS84,1998-06-02T00:00:00Z,2012-12-31T23:59:59Z
068A,SM,Milford Sound,-44.677753923,167.933358703,20,,WGS84,1998-06-18T00:00:00Z,1999-04-25T00:00:00Z
069A,SM,Jacksons,-42.745214255,171.527916011,200,,WGS84,1999-05-27T00:00:00Z,2003-01-09T00:00:00Z
070A,SM,Te Anau Fire Station,-45.416373658,167.719251229,220,,WGS84,1970-02-22T00:00:00Z,2002-02-13T00:00:00Z
073A,SM,Dunedin Chief Post Office,-45.878995238,170.501785477,20,,WGS84,1970-02-26T00:00:00Z,1997-07-01T00:00:00Z
074A,SM,Dunedin Civil Defence,-45.874195095,170.500085482,40,,WGS84,1996-02-20T00:00:00Z,2001-04-06T00:00:00Z
074B,SM,Dunedin Civil Defence,-45.874495104,170.50008548,40,,WGS84,2001-04-06T00:00:00Z,2002-06-09T00:00:00Z
075A,SM,Balclutha Telecom,-46.23420328,169.738873039,20,,WGS84,1996-02-20T00:00:00Z,2004-03-22T00:00:00Z
077A,SM,Invercargill Telephone Exchange,-46.412604249,168.346753121,10,,WGS84,1970-02-24T00:00:00Z,1994-02-22T00:00:00Z
077B,SM,Invercargill Telephone Exchange,-46.412604249,168.346753121,10,,WGS84,1994-02-22T00:00:00Z,2004-03-22T00:00:00Z
078A,SM,Haast Telephone Exchange Generator Room,-43.860035421,169.005877519,4,,WGS84,1969-11-01T00:00:00Z,1993-03-05T00:00:00Z
079A,SM,Taihape Post Office,-39.674954614,175.799383298,440,,WGS84,1990-07-26T00:00:00Z,1995-09-17T00:00:00Z
080A,SM,Milford Sound Hotel Fiordland,-44.672753765,167.926458644,20,,WGS84,1970-02-23T00:00:00Z,1973-06-30T00:00:00Z
080B,SM,Milford Sound Hotel Fiordland,-44.672853768,167.926358643,20,,WGS84,1973-06-30T00:00:00Z,1981-05-04T00:00:00Z
081A,SM,Turangi Telephone Exchange,-38.988740558,175.805985933,380,,WGS84,1970-03-20T00:00:00Z,1990-05-21T00:00:00Z
081B,SM,Turangi Fire Station,-38.990140586,175.805985927,380,,WGS84,1990-05-21T00:00:00Z,1995-04-02T00:00:00Z
081C,SM,Turangi Fire Station,-38.990140586,175.805985927,380,,WGS84,1995-05-19T00:00:00Z,2002-09-06T00:00:00Z
082A,SM,Te Araroa Post Office,-37.633819932,178.365221738,20,,WGS84,1970-03-19T00:00:00Z,1977-07-22T00:00:00Z
083A,SM,Te Kuha,-41.831092465,171.660622209,20,,WGS84,1968-06-07T00:00:00Z,2004-03-18T00:00:00Z
084A,SX,Benmore Dam A,-44.56915783,170.196788984,320,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084B,SX,Benmore Dam B,-44.570057858,170.197888993,320,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084C,SX,Benmore Dam C,-44.570257864,170.198188996,320,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084D,SX,Benmore Dam D,-44.566157749,170.196789001,300,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084E,SX,Benmore Dam E,-44.566657766,170.197889013,340,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084F,SX,Benmore Dam F,-44.567557791,170.198189012,340,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084G,SX,Benmore Dam G,-44.565057723,170.198089024,360,,WGS84,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
085A,SX,Matahina Dam A,-38.114525711,176.816001375,60,,WGS84,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085B,SX,Matahina Dam B,-38.114525714,176.81720139,60,,WGS84,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085C,SX,Matahina Dam C,-38.113725698,176.816901389,40,,WGS84,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085D,SX,Matahina Dam D,-38.113525694,176.81690139,20,,WGS84,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085E,SX,Matahina Dam E,-38.114025706,176.818201404,60,,WGS84,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085F,SX,Matahina Dam F,-38.114625709,176.814401356,40,,WGS84,1988-02-04T00:00:00Z,1994-04-18T00:00:00Z
085G,SX,Matahina Dam G,-38.114625709,176.814401356,40,,WGS84,1994-04-18T00:00:00Z,2006-02-23T00:00:00Z
085H,SX,Matahina Dam H,-38.114878714,176.814086351,60,,WGS84,1995-12-14T00:00:00Z,2012-12-31T23:59:59Z
085J,SX,Matahina Dam J,-38.114561714,176.817092388,60,,WGS84,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085K,SX,Matahina Dam K,-38.114409714,176.818244403,60,,WGS84,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085L,SX,Matahina Dam L,-38.115204718,176.813331341,60,,WGS84,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085M,SX,Matahina Dam M,-38.113008684,176.816876391,20,,WGS84,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085N,SX,Matahina Dam N,-38.113111681,176.814715365,20,,WGS84,2000-06-16T00:00:00Z,2012-12-31T23:59:59Z
086A,SX,Kaipara Harbour A,-36.582592777,174.441878351,40,,WGS84,1969-09-29T00:00:00Z,1990-05-27T00:00:00Z
086B,SX,Kaipara Harbour B,-36.453990156,174.256876638,20,,WGS84,1969-09-29T00:00:00Z,1990-05-26T00:00:00Z
087A,SM,Atene A,-39.716253989,175.145475035,240,,WGS84,1967-07-05T00:00:00Z,2001-04-04T00:00:00Z
087B,SM,Atene B,-39.716553982,175.139674962,40,,WGS84,1967-07-05T00:00:00Z,2001-04-04T00:00:00Z
087C,SM,Atene C,-39.717053989,175.138174942,40,,WGS84,1967-07-05T00:00:00Z,2001-04-04T00:00:00Z
087D,SM,Atene D,-39.717453984,175.132174866,260,,WGS84,1967-07-05T00:00:00Z,1983-11-17T00:00:00Z
088A,SM,Taihape Primary School,-39.676254645,175.800983313,440,,WGS84,1996-06-17T00:00:00Z,2001-11-27T00:00:00Z
088B,SM,Taihape Primary School,-39.676554652,175.801283315,420,,WGS84,1996-06-17T00:00:00Z,1996-08-17T00:00:00Z
089A,SM,Wanaka National Park Headquarters,-44.69465812,169.143074416,300,,WGS84,1973-06-29T00:00:00Z,2002-07-02T00:00:00Z
090A,SM,Inangahua NZED Substation,-41.855293827,171.953925805,60,,WGS84,1975-02-26T00:00:00Z,2001-08-24T00:00:00Z
091A,SX,Arapuni Power Station A,-38.070422295,175.643287303,100,,WGS84,1974-04-02T00:00:00Z,2001-12-12T00:00:00Z
091B,SX,Arapuni Power Station B,-38.07012229,175.643287304,120,,WGS84,1974-04-02T00:00:00Z,2001-12-12T00:00:00Z
091C,SX,Arapuni Dam (centre crest),-38.082365511,175.638953207,120,,WGS84,2004-08-13T00:00:00Z,2012-12-31T23:59:59Z
092A,SM,Mangaweka Carroll's Woolshed,-39.801257287,175.807382922,320,,WGS84,1975-05-29T00:00:00Z,1981-10-14T00:00:00Z
093A,SM,Fox Glacier Park Board Headquarters,-43.462828125,170.019292837,180,,WGS84,1982-05-28T00:00:00Z,2001-08-20T00:00:00Z
094A,SM,Mokihinui,-41.555487003,172.036828279,60,,WGS84,1977-02-09T00:00:00Z,1979-11-15T00:00:00Z
095A,SX,Whakamaru Dam A,-38.418829327,175.806588023,200,,WGS84,1993-01-18T00:00:00Z,2001-12-12T00:00:00Z
095B,SX,Whakamaru Dam B,-38.418829327,175.806588023,200,,WGS84,1993-01-18T00:00:00Z,2001-12-12T00:00:00Z
096A,SM,Wairoa Telephone Exchange,-39.033744949,177.423505674,20,,WGS84,1980-10-29T00:00:00Z,2002-08-21T00:00:00Z
097A,SM,Springs Junction Fire Station,-42.335005935,172.178426357,440,,WGS84,1995-04-05T00:00:00Z,2002-02-25T00:00:00Z
098A,SM,Martinborough Post Office,-41.217487656,175.460173066,40,,WGS84,1980-10-28T00:00:00Z,1999-06-04T00:00:00Z
099A,SM,Tolaga Bay Gift/Coffee Shop,-38.37243369,178.297718587,20,,WGS84,1994-09-14T00:00:00Z,1997-02-05T00:00:00Z
099B,SM,Tolaga Bay Telecom Generator Room,-38.37243369,178.297718587,20,,WGS84,1997-03-15T00:00:00Z,2002-08-01T00:00:00Z
100A,SM,Te Araroa District High School,-37.63371993,178.365221739,20,,WGS84,1977-07-22T00:00:00Z,1993-12-07T00:00:00Z
100B,SM,Te Araroa District High School,-37.633819932,178.365221738,20,,WGS84,1993-12-07T00:00:00Z,2001-06-14T00:00:00Z
101A,SX,Maui A Offshore Tower A,-39.554946535,173.44935475,0,,WGS84,1978-01-31T00:00:00Z,2001-02-15T00:00:00Z
101B,SX,Maui A Offshore Tower B,-39.554946535,173.44935475,0,,WGS84,1978-01-31T00:00:00Z,2001-02-15T00:00:00Z
101C,SX,Maui A Offshore Tower C,-39.554946535,173.44935475,0,,WGS84,1991-08-20T00:00:00Z,2001-02-15T00:00:00Z
101D,SX,Maui A Offshore Tower D,-39.554946535,173.44935475,0,,WGS84,1998-04-22T00:00:00Z,2001-02-15T00:00:00Z
102A,SM,Karioi Pulp Mill,-39.463749695,175.566881216,700,,WGS84,1978-03-30T00:00:00Z,2005-02-07T00:00:00Z
103A,SM,Springs Junction Ranger Station,-42.333805912,172.180626391,440,,WGS84,1979-02-18T00:00:00Z,1995-04-05T00:00:00Z
103B,SM,Springs Junction Ranger Station,-42.333805912,172.180626391,440,,WGS84,1989-11-14T00:00:00Z,1993-11-07T00:00:00Z
104A,SM,Kikiwa Line Depot,-41.673891965,172.874338317,480,,WGS84,1980-04-29T00:00:00Z,2002-02-28T00:00:00Z
105A,SX,Marsden Point Power Station B,-35.875081116,174.467081221,4,,WGS84,1980-06-13T00:00:00Z,1997-01-23T00:00:00Z
106A,SX,Oaonui Gas Processing Plant,-39.400244232,173.811459839,40,,WGS84,1980-07-21T00:00:00Z,2001-02-15T00:00:00Z
106B,SX,Oaonui Gas Processing Plant,-39.400444237,173.811559839,40,,WGS84,2001-02-15T00:00:00Z,2012-12-31T23:59:59Z
107A,SM,Seddonville School,-41.554086854,171.993427738,20,,WGS84,1980-09-28T00:00:00Z,1990-06-28T00:00:00Z
108A,SX,Manapouri Power Station,-45.522175212,167.276744708,180,,WGS84,1981-05-05T00:00:00Z,2001-02-21T00:00:00Z
109A,SM,Seddonville Frethey's Garage,-41.551086784,171.993227749,20,,WGS84,1981-09-23T00:00:00Z,1983-02-10T00:00:00Z
110A,SM,South Rangitikei Rail Bridge A,-39.79515716,175.808282956,280,,WGS84,1981-12-04T00:00:00Z,1991-05-04T00:00:00Z
110B,SM,South Rangitikei Rail Bridge B,-39.79515716,175.808282956,280,,WGS84,1981-12-04T00:00:00Z,1991-05-04T00:00:00Z
110C,SM,South Rangitikei Rail Bridge C,-39.794957159,175.809682974,320,,WGS84,1981-12-04T00:00:00Z,2001-12-03T00:00:00Z
111A,SM,Iwitahi Forestry Headquarters,-38.831338437,176.26689216,760,,WGS84,1982-08-05T00:00:00Z,1983-04-22T00:00:00Z
111B,SM,Iwitahi Forestry Headquarters,-38.831338437,176.26689216,760,,WGS84,1983-04-22T00:00:00Z,1991-09-16T00:00:00Z
112A,SM,Flock Hill Station,-43.132524613,171.76931717,660,,WGS84,1982-09-18T00:00:00Z,1995-03-01T00:00:00Z
112B,SM,Flock Hill Station,-43.132524613,171.76931717,660,,WGS84,1995-04-09T00:00:00Z,2003-01-09T00:00:00Z
113A,SM,Maraenui Primary School,-37.873522792,177.584711515,20,,WGS84,1982-10-15T00:00:00Z,2001-06-14T00:00:00Z
114A,SM,Ohakea RNZAF Signal Station,-40.180464527,175.430476777,100,,WGS84,1982-10-17T00:00:00Z,1991-05-17T00:00:00Z
114B,SM,Ohakea RNZAF Avionics Department,-40.196064748,175.380176089,40,,WGS84,1991-05-17T00:00:00Z,1993-05-31T00:00:00Z
114C,SM,Ohakea RNZAF Avionics Department,-40.196064748,175.380176089,40,,WGS84,1993-05-31T00:00:00Z,2003-07-07T00:00:00Z
115A,SM,Takaka Scott's Farm,-40.847972876,172.820641373,20,,WGS84,1983-02-08T00:00:00Z,2002-10-10T00:00:00Z
116A,SM,Otaki Chatterton Motors,-40.753276423,175.137370845,10,,WGS84,1983-03-15T00:00:00Z,2001-12-10T00:00:00Z
117A,SM,Rotorua Police Station,-38.136324906,176.254094475,290,,WGS84,1983-04-21T00:00:00Z,1999-06-16T00:00:00Z
118A,SM,Cromwell Bridge A,-45.038667799,169.22337342,220,,WGS84,1983-05-23T00:00:00Z,2004-03-20T00:00:00Z
118B,SM,Cromwell Bridge B,-45.038667787,169.219273366,200,,WGS84,1983-05-23T00:00:00Z,2004-03-20T00:00:00Z
118C,SM,Cromwell Bridge C,-45.038667799,169.22337342,220,,WGS84,1984-02-13T00:00:00Z,2004-03-20T00:00:00Z
119A,SX,Atiamuri Dam,-38.381329072,176.016890719,460,,WGS84,1983-07-04T00:00:00Z,1986-12-16T00:00:00Z
120A,SM,Woodville Post Office,-40.334968865,175.868181656,80,,WGS84,1983-07-20T00:00:00Z,1993-07-19T00:00:00Z
120B,SM,Woodville Police Station,-40.334968865,175.868181656,80,,WGS84,1993-07-19T00:00:00Z,1999-06-04T00:00:00Z
121A,SX,Clyde Dam A,-45.181171999,169.305373649,140,,WGS84,1983-10-03T00:00:00Z,2005-07-20T00:00:00Z
121B,SX,Clyde Dam B,-45.179771958,169.304773649,180,,WGS84,1989-06-28T00:00:00Z,2004-06-02T00:00:00Z
121C,SX,Clyde Dam C,-45.179771958,169.304773649,180,,WGS84,1989-06-28T00:00:00Z,2004-06-02T00:00:00Z
122A,SM,Murchison MWD Depot Office,-41.802493563,172.324830756,160,,WGS84,1984-05-23T00:00:00Z,1996-04-02T00:00:00Z
123A,SX,Te Marua Dam A,-41.08329987,175.144551608,120,,WGS84,1984-09-27T00:00:00Z,2008-12-31T23:59:59Z
123B,SX,Te Marua Dam B,-41.083744881,175.145075613,120,,WGS84,1985-12-17T00:00:00Z,2007-12-31T23:59:59Z
123C,SX,Te Marua Dam C,-41.084674903,175.14515461,120,,WGS84,1985-03-22T00:00:00Z,2007-12-31T23:59:59Z
124A,SM,Mohaka Dam A,-39.056344768,177.118301835,40,,WGS84,1984-10-31T00:00:00Z,1992-12-02T00:00:00Z
124B,SM,Mohaka Dam B,-39.027443559,176.822098286,200,,WGS84,1985-06-25T00:00:00Z,1992-12-02T00:00:00Z
125A,SX,Ruataniwha Dam A,-44.285549884,170.08728915,460,,WGS84,1985-09-15T00:00:00Z,2001-04-09T00:00:00Z
