Station,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
065A,20,-44.198348078,170.266791987,540,,WGS84,Topographic Map,1996-02-16T00:00:00Z,2004-03-20T00:00:00Z
066A,20,-43.705032644,169.427883856,20,,WGS84,Topographic Map,1997-10-18T00:00:00Z,1999-09-18T00:00:00Z
066B,20,-43.705032644,169.427883856,20,,WGS84,Topographic Map,1999-09-18T00:00:00Z,2003-01-10T00:00:00Z
067A,20,-44.000244606,170.890401223,380,,WGS84,Topographic Map,1998-02-26T00:00:00Z,1998-06-02T00:00:00Z
067B,20,-44.000722623,170.891982241,360,,WGS84,Topographic Map,1998-06-02T00:00:00Z,2012-12-31T23:59:59Z
068A,20,-44.677753923,167.933358703,20,,WGS84,Topographic Map,1998-06-18T00:00:00Z,1999-04-25T00:00:00Z
069A,20,-42.745214255,171.527916011,200,,WGS84,Topographic Map,1999-05-27T00:00:00Z,2003-01-09T00:00:00Z
070A,20,-45.416373658,167.719251229,220,,WGS84,Topographic Map,1970-02-22T00:00:00Z,2002-02-13T00:00:00Z
073A,20,-45.878995238,170.501785477,20,,WGS84,Topographic Map,1970-02-26T00:00:00Z,1997-07-01T00:00:00Z
074A,20,-45.874195095,170.500085482,40,,WGS84,Topographic Map,1996-02-20T00:00:00Z,2001-04-06T00:00:00Z
074B,20,-45.874495104,170.50008548,40,,WGS84,Topographic Map,2001-04-06T00:00:00Z,2002-06-09T00:00:00Z
075A,20,-46.23420328,169.738873039,20,,WGS84,Topographic Map,1996-02-20T00:00:00Z,2004-03-22T00:00:00Z
077A,20,-46.412604249,168.346753121,10,,WGS84,Topographic Map,1970-02-24T00:00:00Z,1994-02-22T00:00:00Z
077B,20,-46.412604249,168.346753121,10,,WGS84,Topographic Map,1994-02-22T00:00:00Z,2004-03-22T00:00:00Z
078A,20,-43.860035421,169.005877519,4,,WGS84,Topographic Map,1969-11-01T00:00:00Z,1993-03-05T00:00:00Z
079A,20,-39.674954614,175.799383298,440,,WGS84,Topographic Map,1990-07-26T00:00:00Z,1995-09-17T00:00:00Z
080A,20,-44.672753765,167.926458644,20,,WGS84,Topographic Map,1970-02-23T00:00:00Z,1973-06-30T00:00:00Z
080B,20,-44.672853768,167.926358643,20,,WGS84,Topographic Map,1973-06-30T00:00:00Z,1981-05-04T00:00:00Z
081A,20,-38.988740558,175.805985933,380,,WGS84,Topographic Map,1970-03-20T00:00:00Z,1990-05-21T00:00:00Z
081B,20,-38.990140586,175.805985927,380,,WGS84,Topographic Map,1990-05-21T00:00:00Z,1995-04-02T00:00:00Z
081C,20,-38.990140586,175.805985927,380,,WGS84,Topographic Map,1995-05-19T00:00:00Z,2002-09-06T00:00:00Z
082A,20,-37.633819932,178.365221738,20,,WGS84,Topographic Map,1970-03-19T00:00:00Z,1977-07-22T00:00:00Z
083A,20,-41.831092465,171.660622209,20,,WGS84,Topographic Map,1968-06-07T00:00:00Z,2004-03-18T00:00:00Z
084A,20,-44.56915783,170.196788984,320,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084B,20,-44.570057858,170.197888993,320,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084C,20,-44.570257864,170.198188996,320,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084D,20,-44.566157749,170.196789001,300,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084E,20,-44.566657766,170.197889013,340,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084F,20,-44.567557791,170.198189012,340,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
084G,20,-44.565057723,170.198089024,360,,WGS84,Topographic Map,1967-08-22T00:00:00Z,2001-04-10T00:00:00Z
085A,20,-38.114525711,176.816001375,60,,WGS84,Topographic Map,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085B,20,-38.114525714,176.81720139,60,,WGS84,Topographic Map,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085C,20,-38.113725698,176.816901389,40,,WGS84,Topographic Map,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085D,20,-38.113525694,176.81690139,20,,WGS84,Topographic Map,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085E,20,-38.114025706,176.818201404,60,,WGS84,Topographic Map,1967-08-09T00:00:00Z,1996-12-08T00:00:00Z
085F,20,-38.114625709,176.814401356,40,,WGS84,Topographic Map,1988-02-04T00:00:00Z,1994-04-18T00:00:00Z
085G,20,-38.114625709,176.814401356,40,,WGS84,Topographic Map,1994-04-18T00:00:00Z,2006-02-23T00:00:00Z
085H,20,-38.114878714,176.814086351,60,,WGS84,Topographic Map,1995-12-14T00:00:00Z,2012-12-31T23:59:59Z
085J,20,-38.114561714,176.817092388,60,,WGS84,Topographic Map,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085K,20,-38.114409714,176.818244403,60,,WGS84,Topographic Map,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085L,20,-38.115204718,176.813331341,60,,WGS84,Topographic Map,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085M,20,-38.113008684,176.816876391,20,,WGS84,Topographic Map,1999-02-12T00:00:00Z,2012-12-31T23:59:59Z
085N,20,-38.113111681,176.814715365,20,,WGS84,Topographic Map,2000-06-16T00:00:00Z,2012-12-31T23:59:59Z
086A,20,-36.582592777,174.441878351,40,,WGS84,Topographic Map,1969-09-29T00:00:00Z,1990-05-27T00:00:00Z
086B,20,-36.453990156,174.256876638,20,,WGS84,Topographic Map,1969-09-29T00:00:00Z,1990-05-26T00:00:00Z
087A,20,-39.716253989,175.145475035,240,,WGS84,Topographic Map,1967-07-05T00:00:00Z,2001-04-04T00:00:00Z
087B,20,-39.716553982,175.139674962,40,,WGS84,Topographic Map,1967-07-05T00:00:00Z,2001-04-04T00:00:00Z
087C,20,-39.717053989,175.138174942,40,,WGS84,Topographic Map,1967-07-05T00:00:00Z,2001-04-04T00:00:00Z
087D,20,-39.717453984,175.132174866,260,,WGS84,Topographic Map,1967-07-05T00:00:00Z,1983-11-17T00:00:00Z
088A,20,-39.676254645,175.800983313,440,,WGS84,Topographic Map,1996-06-17T00:00:00Z,2001-11-27T00:00:00Z
088B,20,-39.676554652,175.801283315,420,,WGS84,Topographic Map,1996-06-17T00:00:00Z,1996-08-17T00:00:00Z
089A,20,-44.69465812,169.143074416,300,,WGS84,Topographic Map,1973-06-29T00:00:00Z,2002-07-02T00:00:00Z
090A,20,-41.855293827,171.953925805,60,,WGS84,Topographic Map,1975-02-26T00:00:00Z,2001-08-24T00:00:00Z
091A,20,-38.070422295,175.643287303,100,,WGS84,Topographic Map,1974-04-02T00:00:00Z,2001-12-12T00:00:00Z
091B,20,-38.07012229,175.643287304,120,,WGS84,Topographic Map,1974-04-02T00:00:00Z,2001-12-12T00:00:00Z
091C,20,-38.082365511,175.638953207,120,,WGS84,Topographic Map,2004-08-13T00:00:00Z,2012-12-31T23:59:59Z
092A,20,-39.801257287,175.807382922,320,,WGS84,Topographic Map,1975-05-29T00:00:00Z,1981-10-14T00:00:00Z
093A,20,-43.462828125,170.019292837,180,,WGS84,Topographic Map,1982-05-28T00:00:00Z,2001-08-20T00:00:00Z
094A,20,-41.555487003,172.036828279,60,,WGS84,Topographic Map,1977-02-09T00:00:00Z,1979-11-15T00:00:00Z
095A,20,-38.418829327,175.806588023,200,,WGS84,Topographic Map,1993-01-18T00:00:00Z,2001-12-12T00:00:00Z
095B,20,-38.418829327,175.806588023,200,,WGS84,Topographic Map,1993-01-18T00:00:00Z,2001-12-12T00:00:00Z
096A,20,-39.033744949,177.423505674,20,,WGS84,Topographic Map,1980-10-29T00:00:00Z,2002-08-21T00:00:00Z
097A,20,-42.335005935,172.178426357,440,,WGS84,Topographic Map,1995-04-05T00:00:00Z,2002-02-25T00:00:00Z
098A,20,-41.217487656,175.460173066,40,,WGS84,Topographic Map,1980-10-28T00:00:00Z,1999-06-04T00:00:00Z
099A,20,-38.37243369,178.297718587,20,,WGS84,Topographic Map,1994-09-14T00:00:00Z,1997-02-05T00:00:00Z
099B,20,-38.37243369,178.297718587,20,,WGS84,Topographic Map,1997-03-15T00:00:00Z,2002-08-01T00:00:00Z
100A,20,-37.63371993,178.365221739,20,,WGS84,Topographic Map,1977-07-22T00:00:00Z,1993-12-07T00:00:00Z
100B,20,-37.633819932,178.365221738,20,,WGS84,Topographic Map,1993-12-07T00:00:00Z,2001-06-14T00:00:00Z
101A,20,-39.554946535,173.44935475,0,,WGS84,Topographic Map,1978-01-31T00:00:00Z,2001-02-15T00:00:00Z
101B,20,-39.554946535,173.44935475,0,,WGS84,Topographic Map,1978-01-31T00:00:00Z,2001-02-15T00:00:00Z
101C,20,-39.554946535,173.44935475,0,,WGS84,Topographic Map,1991-08-20T00:00:00Z,2001-02-15T00:00:00Z
101D,20,-39.554946535,173.44935475,0,,WGS84,Topographic Map,1998-04-22T00:00:00Z,2001-02-15T00:00:00Z
102A,20,-39.463749695,175.566881216,700,,WGS84,Topographic Map,1978-03-30T00:00:00Z,2005-02-07T00:00:00Z
103A,20,-42.333805912,172.180626391,440,,WGS84,Topographic Map,1979-02-18T00:00:00Z,1995-04-05T00:00:00Z
103B,20,-42.333805912,172.180626391,440,,WGS84,Topographic Map,1989-11-14T00:00:00Z,1993-11-07T00:00:00Z
104A,20,-41.673891965,172.874338317,480,,WGS84,Topographic Map,1980-04-29T00:00:00Z,2002-02-28T00:00:00Z
105A,20,-35.875081116,174.467081221,4,,WGS84,Topographic Map,1980-06-13T00:00:00Z,1997-01-23T00:00:00Z
106A,20,-39.400244232,173.811459839,40,,WGS84,Topographic Map,1980-07-21T00:00:00Z,2001-02-15T00:00:00Z
106B,20,-39.400444237,173.811559839,40,,WGS84,Topographic Map,2001-02-15T00:00:00Z,2012-12-31T23:59:59Z
107A,20,-41.554086854,171.993427738,20,,WGS84,Topographic Map,1980-09-28T00:00:00Z,1990-06-28T00:00:00Z
108A,20,-45.522175212,167.276744708,180,,WGS84,Topographic Map,1981-05-05T00:00:00Z,2001-02-21T00:00:00Z
109A,20,-41.551086784,171.993227749,20,,WGS84,Topographic Map,1981-09-23T00:00:00Z,1983-02-10T00:00:00Z
110A,20,-39.79515716,175.808282956,280,,WGS84,Topographic Map,1981-12-04T00:00:00Z,1991-05-04T00:00:00Z
110B,20,-39.79515716,175.808282956,280,,WGS84,Topographic Map,1981-12-04T00:00:00Z,1991-05-04T00:00:00Z
110C,20,-39.794957159,175.809682974,320,,WGS84,Topographic Map,1981-12-04T00:00:00Z,2001-12-03T00:00:00Z
111A,20,-38.831338437,176.26689216,760,,WGS84,Topographic Map,1982-08-05T00:00:00Z,1983-04-22T00:00:00Z
111B,20,-38.831338437,176.26689216,760,,WGS84,Topographic Map,1983-04-22T00:00:00Z,1991-09-16T00:00:00Z
112A,20,-43.132524613,171.76931717,660,,WGS84,Topographic Map,1982-09-18T00:00:00Z,1995-03-01T00:00:00Z
112B,20,-43.132524613,171.76931717,660,,WGS84,Topographic Map,1995-04-09T00:00:00Z,2003-01-09T00:00:00Z
113A,20,-37.873522792,177.584711515,20,,WGS84,Topographic Map,1982-10-15T00:00:00Z,2001-06-14T00:00:00Z
114A,20,-40.180464527,175.430476777,100,,WGS84,Topographic Map,1982-10-17T00:00:00Z,1991-05-17T00:00:00Z
114B,20,-40.196064748,175.380176089,40,,WGS84,Topographic Map,1991-05-17T00:00:00Z,1993-05-31T00:00:00Z
114C,20,-40.196064748,175.380176089,40,,WGS84,Topographic Map,1993-05-31T00:00:00Z,2003-07-07T00:00:00Z
115A,20,-40.847972876,172.820641373,20,,WGS84,Topographic Map,1983-02-08T00:00:00Z,2002-10-10T00:00:00Z
116A,20,-40.753276423,175.137370845,10,,WGS84,Topographic Map,1983-03-15T00:00:00Z,2001-12-10T00:00:00Z
117A,20,-38.136324906,176.254094475,290,,WGS84,Topographic Map,1983-04-21T00:00:00Z,1999-06-16T00:00:00Z
118A,20,-45.038667799,169.22337342,220,,WGS84,Topographic Map,1983-05-23T00:00:00Z,2004-03-20T00:00:00Z
118B,20,-45.038667787,169.219273366,200,,WGS84,Topographic Map,1983-05-23T00:00:00Z,2004-03-20T00:00:00Z
118C,20,-45.038667799,169.22337342,220,,WGS84,Topographic Map,1984-02-13T00:00:00Z,2004-03-20T00:00:00Z
119A,20,-38.381329072,176.016890719,460,,WGS84,Topographic Map,1983-07-04T00:00:00Z,1986-12-16T00:00:00Z
120A,20,-40.334968865,175.868181656,80,,WGS84,Topographic Map,1983-07-20T00:00:00Z,1993-07-19T00:00:00Z
120B,20,-40.334968865,175.868181656,80,,WGS84,Topographic Map,1993-07-19T00:00:00Z,1999-06-04T00:00:00Z
121A,20,-45.181171999,169.305373649,140,,WGS84,Topographic Map,1983-10-03T00:00:00Z,2004-06-02T00:00:00Z
121B,20,-45.179771958,169.304773649,180,,WGS84,Topographic Map,1989-06-28T00:00:00Z,2004-06-02T00:00:00Z
121C,20,-45.179771958,169.304773649,180,,WGS84,Topographic Map,1989-06-28T00:00:00Z,2004-04-26T00:00:00Z
122A,20,-41.802493563,172.324830756,160,,WGS84,Topographic Map,1984-05-23T00:00:00Z,1996-04-02T00:00:00Z
123A,20,-41.08329987,175.144551608,120,,WGS84,Topographic Map,1984-09-27T00:00:00Z,2008-12-31T23:59:59Z
123B,20,-41.083744881,175.145075613,120,,WGS84,Topographic Map,1985-12-17T00:00:00Z,2007-12-31T23:59:59Z
123C,20,-41.084674903,175.14515461,120,,WGS84,Topographic Map,1985-03-22T00:00:00Z,2007-12-31T23:59:59Z
124A,20,-39.056344768,177.118301835,40,,WGS84,Topographic Map,1984-10-31T00:00:00Z,1992-12-02T00:00:00Z
124B,20,-39.027443559,176.822098286,200,,WGS84,Topographic Map,1985-06-25T00:00:00Z,1992-12-02T00:00:00Z
125A,20,-44.285549884,170.08728915,460,,WGS84,Topographic Map,1985-09-15T00:00:00Z,2001-04-09T00:00:00Z
125B,20,-44.285549884,170.08728915,460,,WGS84,Topographic Map,1985-04-24T00:00:00Z,2001-04-09T00:00:00Z
125C,20,-44.285549887,170.088389165,460,,WGS84,Topographic Map,1986-02-15T00:00:00Z,2001-04-09T00:00:00Z
125D,20,-44.28554989,170.089289177,440,,WGS84,Topographic Map,1985-09-15T00:00:00Z,2001-04-09T00:00:00Z
126A,20,-44.190047507,170.14569045,520,,WGS84,Topographic Map,1985-05-25T00:00:00Z,1998-06-03T00:00:00Z
126B,20,-44.190047507,170.14569045,520,,WGS84,Topographic Map,1985-05-25T00:00:00Z,2001-04-10T00:00:00Z
126C,20,-44.190047507,170.14569045,520,,WGS84,Topographic Map,1985-05-25T00:00:00Z,2001-04-10T00:00:00Z
126D,20,-44.190047508,170.145890453,520,,WGS84,Topographic Map,1998-06-03T00:00:00Z,2001-04-10T00:00:00Z
127A,20,-39.546549087,174.566868549,20,,WGS84,Topographic Map,1985-03-25T00:00:00Z,1990-08-25T00:00:00Z
128A,20,-36.288788021,174.520780356,80,,WGS84,Topographic Map,1990-05-25T00:00:00Z,2002-09-04T00:00:00Z
129A,20,-41.79999351,172.327130797,160,,WGS84,Topographic Map,1991-10-09T00:00:00Z,2002-02-27T00:00:00Z
130A,20,-41.669692705,173.202942504,360,,WGS84,Topographic Map,1985-08-20T00:00:00Z,2002-10-13T00:00:00Z
130B,20,-41.669592703,173.202942504,360,,WGS84,Topographic Map,1992-06-17T00:00:00Z,2008-09-09T23:59:59Z
131A,20,-40.914079717,175.004368523,20,,WGS84,Topographic Map,1993-06-30T00:00:00Z,2001-10-17T00:00:00Z
132A,20,-41.297487917,174.780964128,20,,WGS84,Topographic Map,1993-07-28T00:00:00Z,1997-05-05T00:00:00Z
133A,20,-45.47638032,169.323072099,100,,WGS84,Topographic Map,1995-06-20T00:00:00Z,2004-03-23T00:00:00Z
134A,20,-37.778816071,175.307984312,40,,WGS84,Topographic Map,1994-09-21T00:00:00Z,2002-06-28T00:00:00Z
135A,20,-39.646348107,173.31625273,0,,WGS84,Unknown,1998-04-22T00:00:00Z,2001-02-15T00:00:00Z
