Sample,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
OT023,MC01,-38.08889,176.69965,31,,WGS84,External GPS Device,2022-01-28T00:00:00Z,9999-01-01T00:00:00Z
OTVZ,MC01,-39.163113759,175.665073554,1506,,WGS84,Internal GPS Clock,2004-11-18T00:00:00Z,2015-04-26T00:00:00Z
RL001,MC01,-29.2624,-177.91978,10,,WGS84,External GPS Device,2000-03-21T00:00:00Z,9999-01-01T00:00:00Z
RL002,MC01,-29.25407,-177.92016,8,,WGS84,External GPS Device,2000-03-21T00:00:00Z,9999-01-01T00:00:00Z
RL003,MC01,-29.24923,-177.91678,0,,WGS84,External GPS Device,2000-03-19T00:00:00Z,9999-01-01T00:00:00Z
RL004,MC01,-29.26207,-177.91902,10,,WGS84,External GPS Device,2007-03-27T00:00:00Z,9999-01-01T00:00:00Z
RL005,MC01,-29.26231,-177.92025,10,,WGS84,External GPS Device,2006-08-28T00:00:00Z,9999-01-01T00:00:00Z
RL006,MC01,-29.264281,-177.921582,10,,WGS84,External GPS Device,1980-08-01T00:00:00Z,2006-03-16T00:00:00Z
RL006,MC02,-29.264281,-177.921582,10,,WGS84,External GPS Device,1980-08-01T00:00:00Z,2006-03-16T00:00:00Z
RL006,MC03,-29.264281,-177.921582,10,,WGS84,External GPS Device,1980-08-01T00:00:00Z,2006-03-16T00:00:00Z
RL006,MC04,-29.264281,-177.921582,10,,WGS84,External GPS Device,1980-08-01T00:00:00Z,2006-03-16T00:00:00Z
RL006,MC05,-29.264281,-177.921582,10,,WGS84,External GPS Device,1980-08-01T00:00:00Z,2006-03-16T00:00:00Z
RL007,MC01,-29.243604,-177.929347,31,,WGS84,External GPS Device,1980-08-01T00:00:00Z,2006-03-16T00:00:00Z
RP001,MC01,-38.412777,176.361682,297,,WGS84,External GPS Device,2002-11-18T00:00:00Z,9999-01-01T00:00:00Z
RP002,MC01,-38.411323,176.36238,297,,WGS84,External GPS Device,2002-11-19T00:00:00Z,9999-01-01T00:00:00Z
RP003,MC01,-38.41151,176.363077,297,,WGS84,External GPS Device,2002-11-18T00:00:00Z,2002-11-18T00:00:00Z
RR001,MC01,-38.142485,176.268123,280,,WGS84,External GPS Device,2002-04-23T00:00:00Z,9999-01-01T00:00:00Z
RR002,MC01,-38.160474,176.258417,294,,WGS84,External GPS Device,2002-04-23T00:00:00Z,9999-01-01T00:00:00Z
RR003,MC01,-38.136443,176.257237,284,,WGS84,External GPS Device,2002-04-23T00:00:00Z,9999-01-01T00:00:00Z
RR004,MC01,-38.131879,176.245052,287,,WGS84,External GPS Device,2002-04-23T00:00:00Z,9999-01-01T00:00:00Z
RR005,MC01,-38.128862,176.247767,288,,WGS84,External GPS Device,2009-01-09T00:00:00Z,9999-01-01T00:00:00Z
RR1021,MC01,-38.13841,176.258413,284,,WGS84,External GPS Device,2008-06-25T00:00:00Z,2019-02-06T00:00:00Z
RR1054,MC01,-38.132683,176.243717,283,,WGS84,External GPS Device,2018-07-20T00:00:00Z,2018-07-21T00:00:00Z
RR1076,MC01,-38.137369,176.257931,284,,WGS84,External GPS Device,2010-07-20T00:00:00Z,2012-07-06T00:00:00Z
RR12183,MC01,-38.133856,176.244663,285,,WGS84,External GPS Device,2017-05-04T00:00:00Z,2019-07-12T00:00:00Z
RR12184,MC01,-38.137386,176.258260,284,,WGS84,External GPS Device,2019-10-01T00:00:00Z,2024-05-24T00:00:00Z
RR12776,MC01,-38.133845,176.244683,283,,WGS84,External GPS Device,2021-04-15T00:00:00Z,2023-06-23T00:00:00Z
RR887,MC01,-38.138443,176.258517,284,,WGS84,External GPS Device,2003-01-08T00:00:00Z,2005-12-13T00:00:00Z
RR913,MC01,-38.133828,176.244377,285,,WGS84,External GPS Device,2003-01-08T00:00:00Z,2016-12-01T00:00:00Z
RRBN24-0097,MC01,-38.137325,176.257941,284,,WGS84,External GPS Device,2025-05-29T00:00:00Z,9999-01-01T00:00:00Z
RRBN24-0151,MC01,-38.132891,176.243691,284,,WGS84,External GPS Device,2025-11-28T00:00:00Z,9999-01-01T00:00:00Z
RU000,MC01,-39.281281,175.564369,2529.0,,WGS84,External GPS Device,2003-05-27T00:00:00Z,9999-01-01T00:00:00Z
RU001,MC01,-39.2835,175.5654,2529,,WGS84,External GPS Device,1954-01-22T00:00:00Z,9999-01-01T00:00:00Z
RU001,MC02,-39.2813,175.5644,2529,,WGS84,External GPS Device,2007-09-03T00:00:00Z,9999-01-01T00:00:00Z
RU001,MC03,-39.2816,175.565,2529,,WGS84,External GPS Device,1998-03-17T00:00:00Z,9999-01-01T00:00:00Z
RU001,MC04,-39.2798,175.5649,2529,,WGS84,External GPS Device,1991-01-13T00:00:00Z,9999-01-01T00:00:00Z
RU020,MC01,-39.224927,175.527965,1280,,WGS84,External GPS Device,1990-03-18T00:00:00Z,9999-01-01T00:00:00Z
TO000,MC01,-39.1097012189,175.672065034,1530.0,,WGS84,External GPS Device,2012-08-09T00:00:00Z,9999-01-01T00:00:00Z
TO001,MC01,-39.1090650632,175.674585616,1530,,WGS84,External GPS Device,2012-09-13T00:00:00Z,9999-01-01T00:00:00Z
TO001,MC02,-39.1089930208,175.674582822,1530,,WGS84,External GPS Device,2012-11-09T00:00:00Z,2013-12-20T00:00:00Z
TO001,MC03,-39.1085015938,175.675165363,1530,,WGS84,External GPS Device,2014-03-27T00:00:00Z,2015-04-23T00:00:00Z
TO002,MC01,-39.1093854136,175.671312369,1530,,WGS84,External GPS Device,2012-09-30T00:00:00Z,9999-01-01T00:00:00Z
TO003,MC01,-39.1097012189,175.672065034,1530,,WGS84,External GPS Device,2012-11-09T00:00:00Z,9999-01-01T00:00:00Z
TO004,MC01,-39.109030009,175.670326794,1530,,WGS84,External GPS Device,2013-11-01T00:00:00Z,9999-01-01T00:00:00Z
TO005,MC01,-39.1079870137,175.667914773,1530,,WGS84,External GPS Device,2012-11-09T00:00:00Z,9999-01-01T00:00:00Z
TO006,MC01,-39.1091520061,175.668202785,1530,,WGS84,External GPS Device,2013-12-20T00:00:00Z,2014-03-27T00:00:00Z
TO006,MC02,-39.1092150433,175.668205223,1530,,WGS84,External GPS Device,2014-11-07T00:00:00Z,2015-04-23T00:00:00Z
TO006,MC03,-39.10924496,175.66824184,1530,,WGS84,External GPS Device,2016-11-24T00:00:00Z,9999-01-01T00:00:00Z
TO015,MC01,-39.106219222,175.669882497,1530,,WGS84,External GPS Device,2001-09-11T00:00:00Z,9999-01-01T01:40:00Z
TO030,MC01,-39.1318457,175.651733,1727,,WGS84,External GPS Device,2001-09-11T00:00:00Z,9999-01-01T00:00:00Z
TO031,MC01,-39.107015,175.647505,1399,,WGS84,External GPS Device,2001-09-11T00:00:00Z,9999-01-01T00:00:00Z
TO032,MC01,-39.1350028,175.656264,1697,,WGS84,External GPS Device,2008-05-15T00:00:00Z,9999-01-01T00:00:00Z
TO033,MC01,-39.134455,175.653476,1752,,WGS84,External GPS Device,2003-05-07T00:00:00Z,9999-01-01T00:00:00Z
TO034,MC01,-39.134096,175.655708,1707,,WGS84,External GPS Device,2003-05-07T00:00:00Z,2003-05-07T00:00:00Z
TO035,MC01,-39.106420,175.647506,1381,,WGS84,External GPS Device,2001-09-11T00:00:00Z,9999-01-01T00:00:00Z
TO036,MC01,-39.107506,175.647305,1422,,WGS84,External GPS Device,2001-09-11T00:00:00Z,9999-01-01T00:00:00Z
TO050,MC01,-39.125853,175.659012,1740,,WGS84,External GPS Device,1981-02-08T00:00:00Z,9999-01-01T00:00:00Z
TO051,MC01,-39.200689,175.60419,1230,,WGS84,External GPS Device,1981-12-06T00:00:00Z,9999-01-01T00:00:00Z
TO052,MC01,-39.187799,175.616767,1315,,WGS84,External GPS Device,1981-12-06T00:00:00Z,9999-01-01T00:00:00Z
TO053,MC01,-39.139467,175.625869,1370,,WGS84,External GPS Device,1989-11-16T00:00:00Z,9999-01-01T00:00:00Z
TO054,MC01,-39.106545,175.647856,1392,,WGS84,External GPS Device,1989-04-04T00:00:00Z,9999-01-01T00:00:00Z
TO055,MC01,-39.107912,175.647573,1433,,WGS84,External GPS Device,1984-02-16T00:00:00Z,2001-09-12T00:00:00Z
TO056,MC01,-39.106196,175.647368,1381,,WGS84,External GPS Device,2001-07-06T00:00:00Z,2005-12-01T00:00:00Z
TO057,MC01,-39.107894,175.647596,1432,,WGS84,External GPS Device,2005-12-01T00:00:00Z,2007-05-22T00:00:00Z
TO060,MC01,-39.134251,175.654487,1738,,WGS84,External GPS Device,1981-02-08T00:00:00Z,9999-01-01T00:00:00Z
TO061,MC01,-39.134123,175.654552,1736,,WGS84,External GPS Device,1981-02-08T00:00:00Z,9999-01-01T00:00:00Z
TO062,MC01,-39.133667,175.656721,1700,,WGS84,External GPS Device,1981-02-08T00:00:00Z,9999-01-01T00:00:00Z
TO063,MC01,-39.133929,175.656303,1700,,WGS84,External GPS Device,1994-04-30T00:00:00Z,9999-01-01T00:00:00Z
TP001,MC01,-38.7081769673,176.027604531,358.581,,WGS84,External GPS Device,1983-07-19T00:00:00Z,9999-01-01T00:00:00Z
TP002,MC01,-38.886879354,175.958538482,358.042,,WGS84,External GPS Device,1983-06-13T00:00:00Z,9999-01-01T00:00:00Z
TP003,MC01,-38.8129247167,175.996271373,358.21,,WGS84,External GPS Device,1979-07-04T00:00:00Z,9999-01-01T00:00:00Z
TP004,MC01,-38.6807308825,175.81912044,357.511,,WGS84,External GPS Device,1983-05-25T00:00:00Z,9999-01-01T00:00:00Z
TP005,MC01,-38.6632868402,175.921572713,358.417,,WGS84,External GPS Device,1979-07-04T00:00:00Z,9999-01-01T00:00:00Z
TP006,MC01,-38.7115885092,175.976009824,358.502,,WGS84,External GPS Device,1985-12-10T00:00:00Z,9999-01-01T00:00:00Z
TP007,MC01,-38.9315773413,175.874797252,357.721,,WGS84,External GPS Device,1979-07-04T00:00:00Z,9999-01-01T00:00:00Z
TP008,MC01,-38.8558085341,175.943852732,357.928,,WGS84,External GPS Device,1986-07-06T00:00:00Z,9999-01-01T00:00:00Z
TP009,MC01,-38.7243532357,175.979121787,358.175,,WGS84,External GPS Device,1985-12-10T00:00:00Z,9999-01-01T00:00:00Z
TP010,MC01,-38.9002105343,175.762487952,359.063,,WGS84,External GPS Device,1983-06-13T00:00:00Z,9999-01-01T00:00:00Z
TP011,MC01,-38.6606420484,175.853465328,357.684,,WGS84,External GPS Device,1985-12-10T00:00:00Z,9999-01-01T00:00:00Z
TP012,MC01,-38.736008151,176.010605527,357.687,,WGS84,External GPS Device,1982-08-16T00:00:00Z,9999-01-01T00:00:00Z
TP013,MC01,-38.7948922703,176.073977533,357.128,,WGS84,External GPS Device,1979-07-04T00:00:00Z,9999-01-01T00:00:00Z
TP015,MC01,-38.8194227789,175.81099532,358.087,,WGS84,External GPS Device,1979-07-04T00:00:00Z,9999-01-01T00:00:00Z
TP016,MC01,-38.7046986938,175.916776277,357.259,,WGS84,External GPS Device,1983-06-13T00:00:00Z,9999-01-01T00:00:00Z
TP017,MC01,-38.7783103715,175.78571152,358.15,,WGS84,External GPS Device,1986-04-14T00:00:00Z,9999-01-01T00:00:00Z
TP018,MC01,-38.678601988,175.87439643,357.594,,WGS84,External GPS Device,1985-12-10T00:00:00Z,9999-01-01T00:00:00Z
TP019,MC01,-38.7282181573,175.743966088,357.675,,WGS84,External GPS Device,1983-05-25T00:00:00Z,9999-01-01T00:00:00Z
TP020,MC01,-38.9508362533,175.745287962,357.399,,WGS84,External GPS Device,1985-02-01T00:00:00Z,9999-01-01T00:00:00Z
TP021,MC01,-38.7108395366,175.961572465,357.98,,WGS84,External GPS Device,1985-12-10T00:00:00Z,9999-01-01T00:00:00Z
TP022,MC01,-38.6862807812,175.963024087,359.655,,WGS84,External GPS Device,1983-05-09T00:00:00Z,9999-01-01T00:00:00Z
TP041,MC01,-38.968018,175.764548,360,,WGS84,External GPS Device,2002-11-28T00:00:00Z,9999-01-01T00:00:00Z
TP042,MC01,-38.968055,175.763013,360,,WGS84,External GPS Device,2002-11-28T00:00:00Z,9999-01-01T00:00:00Z
TP043,MC01,-38.967761,175.76508,360,,WGS84,External GPS Device,2002-11-28T00:00:00Z,2015-11-02T00:00:00Z
TP044,MC01,-38.968739,175.762336,368,,WGS84,External GPS Device,2015-11-02T00:00:00Z,2015-11-02T00:00:00Z
TP045,MC01,-38.966988,175.763895,360,,WGS84,External GPS Device,2002-11-28T00:00:00Z,2005-12-19T00:00:00Z
WI000,MC01,-37.521716,177.183495,20.0,,WGS84,External GPS Device,2003-03-04T00:00:00Z,9999-01-01T00:00:00Z
WI001,MC01,-37.5258669984,177.19142059,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI002,MC01,-37.5251955222,177.19250252,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI003,MC01,-37.5251178978,177.190946481,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI004,MC01,-37.5250565783,177.189923665,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI005,MC01,-37.5249052376,177.191330426,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2015-12-08T00:00:00Z
WI006,MC01,-37.5248340658,177.191790585,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI007,MC01,-37.5248198517,177.190226933,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI008,MC01,-37.5243511559,177.193381805,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI009,MC01,-37.5244232148,177.190464236,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI010,MC01,-37.5243499592,177.189033043,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2015-12-08T00:00:00Z
WI011,MC01,-37.5241956782,177.191979779,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2012-10-11T00:00:00Z
WI012,MC01,-37.5242584388,177.193206515,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI013,MC01,-37.5239514332,177.191025561,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI014,MC01,-37.5238746235,177.190420868,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2015-12-08T00:00:00Z
WI015,MC01,-37.5239028763,177.188440706,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2006-06-21T00:00:00Z
WI016,MC01,-37.5236981797,177.189096908,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2006-06-21T00:00:00Z
WI017,MC01,-37.5236487789,177.188482495,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2019-12-04T00:00:00Z
WI018,MC01,-37.5235024789,177.189266674,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI019,MC01,-37.5234042972,177.191673074,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI020,MC01,-37.5233910989,177.192272505,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI021,MC01,-37.5233289097,177.193220135,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2012-10-11T00:00:00Z
WI022,MC01,-37.5235135715,177.190184613,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI023,MC01,-37.5235141888,177.187976356,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2019-12-04T00:00:00Z
WI024,MC01,-37.5234444849,177.187666524,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2019-12-04T00:00:00Z
WI025,MC01,-37.5230934866,177.191054715,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2012-10-11T00:00:00Z
WI026,MC01,-37.5229706048,177.192179988,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2012-10-11T00:00:00Z
WI027,MC01,-37.5231424382,177.186810879,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2019-12-04T00:00:00Z
WI028,MC01,-37.5230649982,177.186953578,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI029,MC01,-37.522900724,177.189684516,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI030,MC01,-37.5229944886,177.188614164,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI031,MC01,-37.5229768939,177.187627906,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI032,MC01,-37.5226589381,177.186714716,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2006-10-31T00:00:00Z
WI033,MC01,-37.5225494776,177.186991439,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2019-12-04T00:00:00Z
WI034,MC01,-37.5224054929,177.191365583,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2012-10-11T00:00:00Z
WI035,MC01,-37.5225011395,177.187566163,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2019-12-04T00:00:00Z
WI036,MC01,-37.5223420853,177.189912354,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2006-02-13T00:00:00Z
WI037,MC01,-37.5223175948,177.190329927,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2006-02-13T00:00:00Z
WI038,MC01,-37.5223694616,177.186493984,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI039,MC01,-37.5221851026,177.188793398,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI040,MC01,-37.5222437022,177.188185302,0,,WGS84,External GPS Device,2002-12-17T00:00:00Z,2019-12-04T00:00:00Z
WI041,MC01,-37.5221740122,177.18933632,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2019-12-04T00:00:00Z
WI042,MC01,-37.5219429301,177.188269663,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI043,MC01,-37.521754939,177.18652607,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI044,MC01,-37.5215368824,177.189004686,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI045,MC01,-37.5216318875,177.187413508,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2015-12-08T00:00:00Z
WI046,MC01,-37.5215640589,177.186809363,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2015-12-08T00:00:00Z
WI047,MC01,-37.5215138509,177.188165345,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2015-12-08T00:00:00Z
WI048,MC01,-37.5213574841,177.187272926,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2015-12-08T00:00:00Z
WI049,MC01,-37.521178752,177.188202405,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI050,MC01,-37.5211845927,177.187070324,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI051,MC01,-37.5211190695,177.186647504,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2015-12-08T00:00:00Z
WI052,MC01,-37.5208207947,177.186177133,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2012-10-11T00:00:00Z
WI053,MC01,-37.5203988781,177.188315417,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI054,MC01,-37.5206722241,177.187753843,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI055,MC01,-37.5204488725,177.186721637,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI056,MC01,-37.5198025442,177.187125557,0,,WGS84,External GPS Device,2002-11-27T00:00:00Z,2006-02-13T00:00:00Z
WI057,MC01,-37.5208737886,177.187912822,0,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2012-10-11T00:00:00Z
WI058,MC01,-37.5236835184,177.188031539,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI059,MC01,-37.5238472013,177.188482754,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI060,MC01,-37.5236872947,177.188903754,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI061,MC01,-37.52370739,177.189335262,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI062,MC01,-37.5236069234,177.189612511,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI063,MC01,-37.5233532442,177.189642995,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI064,MC01,-37.5233599401,177.188975237,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI065,MC01,-37.5234367528,177.188606011,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI066,MC01,-37.5233953066,177.188263855,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI067,MC01,-37.5232169608,177.187234235,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI068,MC01,-37.5232129907,177.187585064,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI069,MC01,-37.5231828559,177.187911716,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI070,MC01,-37.5231569049,177.188125367,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI071,MC01,-37.5231389099,177.188611271,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI072,MC01,-37.5231160983,177.188983648,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI073,MC01,-37.5231223788,177.189301102,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI074,MC01,-37.5231089837,177.189662704,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI075,MC01,-37.5228716297,177.189252486,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI076,MC01,-37.5228931866,177.188914011,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI077,MC01,-37.5228986229,177.188280157,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI078,MC01,-37.522930014,177.187919606,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI079,MC01,-37.5229486288,177.187173276,0,,WGS84,External GPS Device,2016-10-14T00:00:00Z,2019-12-04T00:00:00Z
WI080,MC01,-37.5229421271,177.186617997,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI081,MC01,-37.522726541,177.186594092,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI082,MC01,-37.5227525018,177.186867394,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI083,MC01,-37.5227240425,177.187148844,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI084,MC01,-37.522711491,177.187487845,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI085,MC01,-37.5226886829,177.187860221,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI086,MC01,-37.5226658737,177.188232596,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI087,MC01,-37.5226554115,177.188515097,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI088,MC01,-37.5226305074,177.188943971,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI089,MC01,-37.5226200435,177.189226472,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI090,MC01,-37.5225788109,177.189609095,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI091,MC01,-37.5223607128,177.189166031,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI092,MC01,-37.5223998512,177.188839909,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI093,MC01,-37.5224124067,177.18850091,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
