Make,Model,Serial,Place,Role,Start Date,End Date
Kinemetrics,Q330S/6,6143,Port of Tauranga,,2019-12-05T22:32:01Z,2024-03-20T22:20:00Z
Nanometrics,Centaur CTR4-6S,10961,Port of Tauranga,,2024-03-20T23:16:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2464,Puysegur Welcome Bay,,2009-11-27T21:15:01Z,2014-02-25T00:00:00Z
Kinemetrics,Q330S/3,5165,Puysegur Welcome Bay,,2014-02-25T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,3621,Queen's Wharf Shed 1,,2016-02-04T00:10:01Z,2021-04-15T20:30:00Z
Kinemetrics,Q330/3,551,Queen's Wharf Shed 1,,2007-03-06T00:00:01Z,2016-02-04T00:05:00Z
Nanometrics,Centaur CTR4-6S,7976,Queen's Wharf Shed 1,,2021-04-15T21:50:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2108,Raoul Island Boat Cove,,2009-05-18T00:00:01Z,2017-03-26T22:00:00Z
Kinemetrics,Q330/6,3135,Raoul Island Boat Cove,,2017-03-26T22:00:01Z,2021-10-22T21:21:00Z
Nanometrics,Centaur CTR4-6S,8754,Raoul Island Boat Cove,,2021-10-24T03:28:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2322,Raoul Island Fishing Rock,,2009-05-18T00:00:01Z,2021-10-20T22:13:00Z
Nanometrics,Centaur CTR4-6S,8744,Raoul Island Fishing Rock,,2021-10-22T01:57:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2455,Sumner Head,,2010-06-15T00:00:01Z,2022-03-31T20:00:00Z
Kinemetrics,Q330/3,2558,Whatipu,,2010-07-15T00:00:02Z,2018-04-12T01:45:00Z
Kinemetrics,Q330S/3,5183,Whatipu,,2018-04-12T02:00:00Z,9999-01-01T00:00:00Z
