Station,Location,Sublocation,Property,Description,Aspect,Start Date,End Date
FOXRB,03,01,direction,wind,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXRB,03,01,direction-stddev,wind,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXRB,03,01,humidity,air,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXRB,03,01,pressure,air,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXRB,03,01,speed,wind,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXRB,03,01,temperature,air,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,01,01,rainfall,total,,2021-11-21T11:50:00Z,9999-01-01T00:00:00Z
FOXVF,03,01,direction,wind,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,03,01,direction-stddev,wind,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,03,01,humidity,air,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,03,01,pressure,air,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,03,01,speed,wind,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,03,01,temperature,air,,2021-11-24T00:00:00Z,9999-01-01T00:00:00Z
FOXVF,04,01,displacement,crack,upper site main north,2021-11-22T11:50:00Z,9999-01-01T00:00:00Z
FOXVF,04,01,temperature,wire,upper site main north,2021-11-22T11:50:00Z,9999-01-01T00:00:00Z
FOXVF,05,01,displacement,crack,lower site main north,2022-02-23T00:50:00Z,9999-01-01T00:00:00Z
FOXVF,05,01,temperature,wire,lower site main north,2022-02-23T00:50:00Z,9999-01-01T00:00:00Z
FOXVF,06,01,displacement,crack,upper site secondary west,2023-02-09T03:39:59Z,9999-01-01T00:00:00Z
FOXVF,06,01,temperature,wire,upper site secondary west,2023-02-09T03:39:59Z,9999-01-01T00:00:00Z
FOXVV,01,01,rainfall,total,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,03,01,direction,wind,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,03,01,direction-stddev,wind,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,03,01,humidity,air,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,03,01,pressure,air,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,03,01,speed,wind,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,03,01,temperature,air,,2021-08-03T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,04,01,displacement,crack,eastern site,2022-01-25T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,04,01,temperature,wire,eastern site,2022-01-25T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,05,01,displacement,crack,western site,2022-01-25T00:00:00Z,9999-01-01T00:00:00Z
FOXVV,05,01,temperature,wire,western site,2022-01-25T00:00:00Z,9999-01-01T00:00:00Z
NA000,MC01,01,CO2-gasflux,plume,,2003-07-17T00:00:00Z,9999-01-01T00:00:00Z
NA000,MC01,01,H2S-gasflux,plume,,2003-07-17T00:00:00Z,9999-01-01T00:00:00Z
NA000,MC01,01,SO2-gasflux,plume,,2003-07-17T00:00:00Z,9999-01-01T00:00:00Z
NA001,MC01,01,temperature,fumarole,,1978-07-01T00:00:00Z,9999-01-01T00:00:00Z
NA002,01,01,temperature,air,,2021-05-06T04:00:00Z,9999-01-01T00:00:00Z
NA002,02,01,temperature,fumarole,,2021-05-06T04:00:00Z,9999-01-01T00:00:00Z
NA002,03,01,temperature,fumarole,,2021-05-06T04:00:00Z,9999-01-01T00:00:00Z
NA002,04,01,CO2-conc,air,,2024-03-21T03:00:00Z,9999-01-01T00:00:00Z
NA002,05,01,SO2-conc,air,,2024-03-21T03:00:00Z,9999-01-01T00:00:00Z
NA002,06,01,H2S-conc,air,,2024-03-21T03:00:00Z,9999-01-01T00:00:00Z
NA002,07,01,direction,wind,,2024-03-21T03:00:00Z,9999-01-01T00:00:00Z
NA002,07,02,speed,wind,,2024-03-21T03:00:00Z,9999-01-01T00:00:00Z
NA002,MC01,01,temperature,fumarole,,1973-11-27T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Al-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,As-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,B-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Br-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Ca-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Cl-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,F-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Fe-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,H2S-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,HCO3-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,K-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Li-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Mg-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,NH3-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,NO3-N-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,Na-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,PO4-P-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,SO4-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,SiO2-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,d18O-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,d2H-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,pH,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM001,MC01,01,temperature,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Al-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,As-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,B-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Br-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Ca-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Cl-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,F-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Fe-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,H2S-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,HCO3-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,K-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Li-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Mg-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,NH3-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,NO3-N-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,Na-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,PO4-P-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,SO4-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,SiO2-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,d18O-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,d2H-conc,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,pH,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
NM002,MC01,01,temperature,spring,,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Al-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,As-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,B-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Br-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Ca-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Cl-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,F-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Fe-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,H2S-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,HCO3-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,K-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Li-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Mg-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,NH3-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,NO3-N-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,Na-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,PO4-P-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,SO4-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,SiO2-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,d18O-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,d2H-conc,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,pH,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OK001,MC01,01,temperature,spring,,2022-05-05T00:00:00Z,9999-01-01T00:00:00Z
OT001,01,01,temperature,lake,,2012-06-22T03:45:00Z,9999-01-01T00:00:00Z
OT001,02,01,temperature,overflow,,2019-10-11T00:50:00Z,9999-01-01T00:00:00Z
OT001,03,01,height,lake,,2017-11-07T00:10:00Z,9999-01-01T00:00:00Z
OT001,03,02,height,lake,relative to overflow,2012-06-22T03:45:00Z,2017-11-01T00:00:00Z
OT001,04,01,height,overflow,,2019-10-11T00:50:00Z,9999-01-01T00:00:00Z
OT001,04,02,flowrate,overflow,,2012-06-22T03:45:00Z,2018-08-31T23:45:00Z
OT001,MC01,01,Al-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,As-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,B-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Br-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Ca-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Cl-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,F-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Fe-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,H2S-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,HCO3-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,K-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Li-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Mg-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,NH3-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,NO3-N-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,Na-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,PO4-P-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,SO4-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,SiO2-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,d18O-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,d2H-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,pH,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT001,MC01,01,temperature,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Al-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,As-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,B-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Br-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Ca-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Cl-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,F-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Fe-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,H2S-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,HCO3-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,K-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Li-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Mg-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,NH3-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,NO3-N-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,Na-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,PO4-P-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,SO4-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,SiO2-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,d18O-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,d2H-conc,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,pH,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT002,MC01,01,temperature,lake,,2009-02-04T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Al-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,As-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,B-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Br-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Ca-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Cl-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,F-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Fe-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,H2S-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,K-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Li-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Mg-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,NH3-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,NO3-N-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,Na-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,PO4-P-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,SO4-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,SiO2-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,d18O-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,d2H-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,pH,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT010,MC01,01,temperature,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Al-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,As-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,B-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Br-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Ca-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Cl-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,F-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Fe-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,H2S-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,HCO3-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,K-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Li-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Mg-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,NH3-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,NO3-N-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,Na-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,PO4-P-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,SO4-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,SiO2-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
OT011,MC01,01,d18O-conc,spring,,2003-04-30T00:00:00Z,9999-01-01T00:00:00Z
