Station,Vs30,Tsite,Zb,Q_Vs30,Q_Tsite,D_Tsite,Q_Zb,References,Notes
AMBC,270,>2,300,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
APPS,300,0.4,30,Q2,Q1,Ms,Q2,"Kaiser, A.E. et al. (2013); McVerry G.H. (2011)",
ARKS,270,0.33,20,Q3,Q1,Mw,Q2,"Unpublished HVSR (C. Van Houtte & A. Kaiser); Perrin, N.D. et al. (2015)",
ARPS,333,1,120,Q3,Q2,Mw,Q3,Unpublished HVSR (C. Van Houtte),
ASHS,270,>2,650,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
AVIS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
BDCS,1000,0.17,5,Q3,Q2,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
BENS,1000,<0.1,0,Q3,Q3,I,Q3,,
BFZ,1000,0.83,0,Q3,Q2,Mw,Q2,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
BKZ,1000,-1,0,Q3,Q2,Mn,Q1,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
BMTS,900,-1,0,Q3,Q2,Mn,Q2,Unpublished HVSR (A. Kaiser),
BTWS,210,0.7,40,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",some conflicts
BWHS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
BWRS,760,0.2,5,Q3,Q1,Mw,Q3,Unpublished HVSR (A. Kaiser),
CACS,435,6.3,610,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
CBGS,197,>2,540,Q1,Q3,I,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
CCCC,182,2.4,530,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
CCPS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
CECS,270,2.2,200,Q3,Q3,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
CHHC,196,>2,510,Q1,Q3,I,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
CMHS,213,0.71,45,Q1,Q1,Mw,Q1,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015)",
CPFS,350,0.33,10,Q3,Q1,Mw,Q2,Unpublished HVSR (C. Van Houtte),
CRLZ,900,0.9,0,Q2,Q1,Mw,Q1,"Kaiser, A.E. et al. (2013); Van Houtte, C. et al. (2012)",
CSBF,1500,-1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
CSHS,270,0.7,70,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013)",
CSTC,425,>2,330,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
CUBS,250,0.7,48,Q3,Q2,Mw,Q2,"Semmens, S. et al. (2010); Unpublished HVSR (A. Kaiser)",
CULC,270,1.2,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
CVZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
D07C,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
D13C,1000,0.3,0,Q3,Q2,Mw,Q3,"Van Houtte, C. et al. (2012); Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
D14C,1000,-1,0,Q3,Q1,Mn,Q3,"Van Houtte, C. et al. (2012); Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
D15C,1000,-1,3,Q3,Q2,Mn,Q3,"Van Houtte, C. et al. (2012); Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
DALS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
DAVS,600,0.1,5,Q3,Q3,I,Q3,,
DCDS,600,0.1,8,Q3,Q3,I,Q3,"Cousins, W.J. et al. (1996)",
DCZ,1500,-1,0,Q3,Q1,Mn,Q1,Unpublished HVSR (C. Van Houtte),
DECF,1500,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
DFHS,270,0.9,400,Q3,Q3,Mw,Q3,"Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
DGNS,600,0.1,10,Q3,Q3,Mw,Q3,Unpublished HVSR (C. Van Houtte),
DHSS,690,0.1,8,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
DKHS,210,0.63,40,Q3,Q1,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015); Stephenson, W.R., & Barker, P.R. (1999)",
DORC,270,>2,690,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
DSLC,270,>2,440,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
DSZ,450,0.33,40,Q3,Q2,Mw,Q2,Unpublished HVSR (C. Van Houtte),
DUNS,500,0.17,9,Q2,Q1,Ms,Q2,Unpublished HVSR (C. Van Houtte),
DVHS,360,0.58,55,Q3,Q3,Mw,Q3,,
EAZ,1000,0.14,0,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
EBPS,540,0.38,7,Q2,Q3,Mw,Q2,"Unpublished ReMi data (GNS, A. Kaiser & J. Louie); Unpublished HVSR (C. Van Houtte)",
EKS1,900,<0.1,2,Q3,Q3,I,Q3,,
EKS2,270,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
EKS3,270,0.8,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
EKTS,800,0.1,6,Q3,Q1,Mn,Q3,Unpublished HVSR (C. Van Houtte),
EYRS,270,>2,490,Q3,Q3,I,Q3,"Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
FAHS,270,0.67,60,Q3,Q1,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
FAIS,760,0.27,0,Q3,Q1,Mw,Q2,Unpublished HVSR (A. Kaiser),
FDCS,301,3,1000,Q3,Q3,I,Q3,"Unpublished HVSR (A. Kaiser & C. Van Houtte); Cousins, W.J. et al. (1996)",
FGPS,270,0.91,80,Q3,Q3,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
FJDS,210,0.67,60,Q3,Q3,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
FKPS,250,0.9,60,Q3,Q2,Mw,Q2,"Unpublished HVSR (A. Kaiser & C. Van Houtte); Semmens, S. et al. (2010)",some conflicts
FOZ,1000,-1,0,Q3,Q1,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
FTPS,270,1,90,Q3,Q2,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
FXBS,210,1.5,500,Q3,Q3,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
GDLC,270,>2,640,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
GHHS,270,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
GISS,138,1,40,Q2,Q1,Ms,Q3,Unpublished HVSR (C. Van Houtte),
GKBS,800,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
GLWS,270,1,100,Q3,Q1,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
GMTS,210,1,70,Q3,Q1,Mw,Q3,"McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",at 055A
GODS,760,1.15,0,Q3,Q2,Ms,Q3,"Van Houtte, C. et al. (2012); Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
GORS,400,1,100,Q3,Q1,Ms,Q3,Unpublished HVSR (C. Van Houtte),
GOVS,690,0.28,10,Q3,Q1,Ms,Q3,"Unpublished HVSR (A. Kaiser); Perrin, N.D. et al. (2015)",
GRZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
GVZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
GWTS,245,1.5,125,Q3,Q3,I,Q3,Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011),
HAFS,210,1,80,Q3,Q1,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
HALS,210,0.7,100,Q3,Q2,Ms,Q3,"Stephenson, W.R. et al. (2011); Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013); Lee, R.L. et al. (2015)",
HAVS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
HAZ,600,0.1,5,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",
HCDS,182,>2,1000,Q2,Q3,I,Q3,Unpublished HVSR (C. Van Houtte),
HDWS,210,0.87,100,Q3,Q1,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
HHSS,210,0.9,280,Q3,Q3,Ms,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013); Lee, R.L. et al. (2015)",
HIBS,210,1,90,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
HMCS,278,0.76,60,Q3,Q3,I,Q3,Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011),
HNPS,425,0.8,300,Q3,Q3,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
HOCS,600,1.8,300,Q3,Q3,I,Q3,"Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011); Perrin, N.D. et al. (2015)",at 240A some conflicts with 240A in McVerry 2011
HORC,270,>2,860,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
HPSC,150,>2,640,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
HSES,280,0.9,85,Q3,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte),
HSSS,650,0.22,5,Q3,Q3,Mw,Q3,Unpublished HVSR (C. Van Houtte),
HUKS,350,0.7,60,Q3,Q1,Ms,Q3,Unpublished HVSR (C. Van Houtte),
HUNS,1000,-1,0,Q3,Q2,Mn,Q3,"Van Houtte, C. et al. (2012); Perrin, N.D. et al. (2015)",
HVSC,348,0.27,19,Q1,Q1,Ms,Q1,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Kaiser, A.E. et al. (2013); Van Houtte, C. et al. (2012); Jeong, S., & Bradley, B.A. (2015)",
HWHS,210,0.6,12,Q2,Q2,Ms,Q2,Unpublished HVSR (C. Van Houtte),
ICCS,210,0.77,50,Q3,Q2,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
IFPS,210,1.5,150,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Carpentier, S.F.A. et al. (2013)",
INGS,270,0.33,40,Q3,Q2,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
INHS,330,1.5,200,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
INSS,800,0.5,0,Q3,Q2,Mw,Q3,Unpublished HVSR (C. Van Houtte & A. Kaiser),
INZ,1200,<0.1,0,Q3,Q3,I,Q3,,
JCWJ,1000,<0.1,2,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
JCZ,1500,<0.1,0,Q3,Q3,I,Q2,,
KAFS,220,1.25,80,Q2,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte),
KARS,210,0.87,70,Q3,Q2,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
KEKS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
KFHS,760,1.25,10,Q3,Q2,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Cousins, W.J. et al. (1996)",
KHLS,900,0.1,10,Q3,Q3,I,Q3,,
KHZ,600,0.1,5,Q3,Q2,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
KIKS,1000,-1,0,Q3,Q2,Mn,Q3,Unpublished HVSR (A. Kaiser),
KILS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
KIRS,430,0.43,20,Q3,Q1,Ms,Q3,Unpublished HVSR (C. Van Houtte),
KLDS,330,>2,420,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
KNZ,1000,<0.1,0,Q3,Q3,I,Q2,"Perrin, N.D. et al. (2015)",
KOKS,210,>2,200,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
KOWC,350,0.6,50,Q3,Q1,Ms,Q3,"Kaiser, A.E. et al. (2013); Unpublished HVSR (C. Van Houtte)",
KPOC,257,>2,700,Q1,Q3,I,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
KUZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
LBZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
LCQC,600,0.13,10,Q3,Q3,I,Q3,,
LHBS,700,0.6,0,Q3,Q2,Mw,Q3,Unpublished HVSR (A. Kaiser & C. Van Houtte),
LHES,240,1.16,280,Q3,Q3,I,Q3,"Boon, D.P. et al. (2010)",
LHRS,760,1.4,0,Q3,Q2,Mw,Q2,Unpublished HVSR (A. Kaiser & C. Van Houtte),
