Station,Site Class,Vs30,Vs30 Quality,Tsite,Tsite Method,Tsite Quality,Basement Depth,Depth Quality,Link,Citations,Notes
087D,B,1000,Q3,<0.1,I,Q3,0,Q2,,Perrin2015,
089A,D,326,Q3,2.1,I,Q3,300,Q3,,McVerry2011,
090A,C,270,Q3,0.33,Mw,Q3,40,Q3,INGS,,
092A,D,270,Q3,0.8,I,Q3,80,Q3,,McVerry2011 Perrin2015,some conflicts
096A,D,155,Q2,1.5,I,Q3,100,Q3,,Barker1994 Cousins1996,
099B,D,210,Q3,1.1,Mw,Q3,80,Q3,TBAS,,
102A,C,555,Q3,0.15,I,Q3,12,Q3,,Cousins1996,
103A,C,465,Q3,0.23,I,Q3,20,Q3,SJFS,,
110C,D,270,Q3,0.8,I,Q3,80,Q3,,Perrin2015,
112A,C,667,Q3,0.36,I,Q3,60,Q3,,McVerry2011,
112B,C,667,Q3,0.36,I,Q3,60,Q3,,McVerry2011,
113A,C,522,Q3,0.15,I,Q3,10,Q3,,McVerry2011,
114A,D,387,Q3,1,I,Q3,100,Q3,,McVerry2011,
118A,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
118B,C,520,Q3,0.3,I,Q3,40,Q3,,McVerry2011,
120A,D,290,Q3,1.1,I,Q3,100,Q3,,McVerry2011,
122A,D,500,Q3,1.6,I,Q3,250,Q3,129A,,
123A,C,616,Q3,0.13,I,Q3,10,Q3,,McVerry2011,
129A,D,500,Q3,1.6,Mw,Q3,250,Q3,MCAS,,
130B,D,367,Q3,0.85,I,Q3,100,Q3,,McVerry2011,
131A,D,210,Q3,1.4,Mw,Q2,100,Q3,PAPS,,
132A,C,245,Q2,0.47,I,Q2,27,Q2,,McVerry2011 Semmens2010,
214A,E,210,Q3,1,I,Q3,75,Q3,,Cousins1996 Perrin2015,see 028A
225B,D,155,Q3,1.5,I,Q3,100,Q3,096A,,
240A,D,600,Q3,1.8,I,Q3,300,Q3,,McVerry2011,see HOCS
249A,C,350,Q2,0.35,Mu,Q2,60,Q3,642A,,
257A,D,210,Q3,>2,I,Q3,300,Q3,,Cousins1996 Perrin2015,
259A,D,210,Q3,0.7,Mw,Q2,50,Q3,046A,,
261A,D,330,Q3,0.6,I,Q3,60,Q3,,Perrin2015,
262A,C,400,Q3,0.27,I,Q3,20,Q3,,McVerry2011,
264A,D,390,Q3,1.3,I,Q3,200,Q3,,McVerry2011,alternative bedrock models available
265A,D,280,Q3,2.3,I,Q3,250,Q3,,McVerry2011,
266A,D,300,Q3,1.2,Mw,Q2,105,Q3,WBCS,,
267A,C,333,Q3,0.3,I,Q3,30,Q3,052A,,
268A,D,210,Q3,1,Mw,Q2,70,Q3,GMTS,,
270A,C,500,Q3,0.15,I,Q3,10,Q3,,McVerry2011,
272A,D,278,Q3,1.1,I,Q3,100,Q3,057A,,
274A,E,150,Q3,>2,I,Q3,500,Q3,,,
275A,D,400,Q3,6,Ma,Q3,600,Q3,CACS,McVerry2011,
301A,D,341,Q3,0.75,I,Q3,60,Q3,,McVerry2011,
302A,D,250,Q2,0.8,I,Q3,80,Q3,,McVerry2011,borehole data nearby WCDS some conflicts
340A,D,283,Q3,0.96,I,Q3,90,Q3,,McVerry2011,
464A,D,210,Q3,1.2,I,Q3,170,Q3,,Boon2010 Perrin2015,
465A,C,600,Q3,0.1,I,Q3,5,Q3,DAVS,,
465B,C,600,Q3,0.1,I,Q3,5,Q3,DAVS,,
467A,D,218,Q3,1.5,I,Q3,200,Q3,,Boon2010 McVerry2011 Perrin2015,
468A,D,190,Q1,0.9,I,Q3,50,Q3,NBSS,,
469A,D,240,Q3,1.2,I,Q3,280,Q3,LHES,,
504A,D,270,Q3,0.7,I,Q3,50,Q3,,Perrin2015,nearby station 294A
505A,C,300,Q2,0.4,Ms,Q2,30,Q2,APPS,,
507A,C,312,Q3,0.38,I,Q3,30,Q3,OAMS,,
601A,D,161,Q3,2.3,I,Q3,297,Q3,,Boon2010 McVerry2011,
602C,B,1000,Q3,<0.1,I,Q3,0,Q3,,,
603B,B,1000,Q3,<0.1,I,Q3,0,Q3,,,
604A,D,263,Q3,1.2,I,Q3,170,Q3,,Boon2010,
605B,B,760,Q3,0.27,Mw,Q3,0,Q3,FAIS,,
606B,B,800,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
608A,D,200,Q2,2,I,Q2,250,Q3,,McVerry2011,see PGMS
640A,E,230,Q3,0.5,I,Q3,60,Q3,,Perrin2015,near 642A
641A,E,210,Q3,0.6,I,Q3,60,Q3,,Boon2010 Perrin2015,
642A,C,350,Q1,0.35,Mu,Q2,50,Q3,,Cousins1996 Kaiser2006b,
642E,C,350,Q1,0.35,Mu,Q2,50,Q3,642A,,
642G,C,350,Q1,0.35,Mu,Q2,50,Q3,642A,,
642H,C,350,Q1,0.35,Mu,Q2,50,Q3,642A,,
643B,B,1000,Q3,<0.1,I,Q3,1.5,Q3,,Perrin2015,
644C,D,189,Q3,2,I,Q3,250,Q3,,Boon2010 McVerry2011,
646A,E,120,Q1,1.6,Mu,Q2,62,Q2,WDAS,,
646B,E,120,Q1,1.6,Mu,Q2,62,Q2,WDAS,,
646C,E,120,Q1,1.6,Mu,Q2,62,Q2,WDAS,,
647A,C,474,Q2,0.12,I,Q2,5.7,Q2,,McVerry2011 Semmens2010,
647D,D,474,Q2,0.12,I,Q2,5.7,Q2,,McVerry2011 Semmens2010,
648A,C,330,Q3,0.5,I,Q3,38,Q3,,Kaiser2006b McVerry2011 Semmens2010,
651A,D,330,Q2,1,I,Q3,120,Q3,,Boon2010 Perrin2015 Kaiser2006b,
705B,C,570,Q3,0.15,I,Q3,10,Q3,,McVerry2011,
706A,C,210,Q3,0.5,Mu,Q2,30,Q3,,Perrin2015 Taber1991,
707A,C,570,Q3,0.15,I,Q3,10,Q3,705B,,
708A,C,275,Q3,0.4,Ms,Q1,25,Q2,POLS,,
709A,D,245,Q3,1.5,I,Q3,125,Q3,GWTS,,
711A,D,234,Q3,1.4,I,Q3,175,Q3,,Boon2010,
712A,D,210,Q3,0.71,Mw,Q2,100,Q3,WKHS,,
713A,D,210,Q3,0.6,Mu,Q3,40,Q3,706A,,
900B,D,267,Q2,0.84,I,Q2,96,Q2,,McVerry2011 Semmens2010,
900C,D,250,Q3,0.8,I,Q3,60,Q3,,McVerry2011 Semmens2010,some conflicts
902A,D,275,Q2,1.25,I,Q2,131.5,Q2,,McVerry2011 Semmens2010,
907A,D,250,Q2,1.2,I,Q2,116,Q2,,Kaiser2006b McVerry2011 Semmens2010,
911A,C,358,Q2,0.29,I,Q2,18.5,Q2,,McVerry2011 Semmens2010,
912A,D,239,Q2,0.78,Mw,Q2,64,Q2,WNAS,,
913A,B,1000,Q3,<0.1,I,Q3,2,Q2,,Perrin2015 Semmens2010,
914A,D,282,Q2,0.61,I,Q2,46.5,Q2,,McVerry2011 Semmens2010,
914B,D,282,Q2,0.61,I,Q2,46.5,Q2,914A,,
914C,D,270,Q2,0.65,I,Q2,50,Q2,,Semmens2010,
916A,D,291,Q2,0.8,I,Q2,85.4,Q2,,McVerry2011 Semmens2010,
918B,B,1000,Q3,0.3,Mw,Q1,0,Q2,WEL,,
918C,B,1000,Q3,0.3,Mw,Q3,0,Q3,WEL,,
919A,D,307,Q2,0.85,I,Q2,95.6,Q2,,McVerry2011 Semmens2010,
920A,C,210,Q3,0.25,Mu,Q1,10,Q3,,Perrin2015 Semmens2010 Taber1992,
921A,C,330,Q3,0.5,I,Q3,38,Q3,648A,,
925A,D,210,Q3,0.8,I,Q3,52,Q3,,Perrin2015,
926A,C,651,Q3,0.07,I,Q3,5,Q3,,McVerry2011,
928B,D,425,Q3,0.8,Ms,Q3,300,Q3,HNPS,,
930A,E,150,Q3,>2,I,Q3,300,Q3,,,
931B,D,320,Q3,0.63,I,Q3,50,Q3,,McVerry2011,
933B,D,229,Q3,1.4,I,Q3,120,Q3,,McVerry2011,
934B,D,180,Q1,1.1,I,Q3,100,Q3,,Boon2010 Perrin2015 Kaiser2006b,
935A,D,240,Q3,1.2,I,Q3,275,Q3,,Boon2010,
935B,D,240,Q3,1.2,I,Q3,275,Q3,935A,,
935C,D,240,Q3,1.2,I,Q3,275,Q3,935A,,
940A,D,354,Q3,0.8,Mw,Q3,80,Q3,,McVerry2011,see QTPS
941A,D,272,Q2,0.85,I,Q2,98.5,Q2,,McVerry2011 Semmens2010,
ADCS,D,270,Q3,>2,I,Q3,990,Q3,,Lee2015 Perrin2015,
AICS,D,210,Q3,1,I,Q3,80,Q3,,Perrin2015,
AKSS,C,435,Q1,0.3,Mw,Q1,10,Q2,,Kaiser2013 VanHoutte2012b,
AMBC,D,270,Q3,>2,I,Q3,300,Q3,,Perrin2015,
APPS,C,300,Q2,0.4,Ms,Q1,30,Q2,,Kaiser2013 McVerry2011,
ARKS,C,270,Q3,0.33,Mw,Q1,20,Q2,,Perrin2015 VanHoutte2017,
ARPS,D,333,Q3,1,Mw,Q2,120,Q3,,VanHoutte2017,
ASHS,D,270,Q3,>2,I,Q3,650,Q3,,Lee2015 Perrin2015,
AVIS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
BDCS,B,1000,Q3,0.17,Ms,Q2,5,Q3,,Perrin2015 VanHoutte2017,
BENS,B,1000,Q3,<0.1,I,Q3,0,Q3,,,
BFZ,B,1000,Q3,0.83,Mw,Q2,0,Q2,,Perrin2015 VanHoutte2017,
BKZ,B,1000,Q3,-1,Mn,Q2,0,Q1,,Perrin2015 VanHoutte2017,
BMTS,B,900,Q3,-1,Mn,Q2,0,Q2,,VanHoutte2017,
BTWS,D,210,Q3,0.7,I,Q3,40,Q3,,Perrin2015 VanHoutte2017,some conflicts
BWHS,D,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
BWRS,B,760,Q3,0.2,Mw,Q1,5,Q3,,VanHoutte2017,
CACS,D,435,Q1,6.3,Ma,Q2,610,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
CBGS,D,197,Q1,>2,I,Q3,540,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
CCCC,D,182,Q1,2.4,Ma,Q2,530,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
CCPS,D,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
CECS,D,270,Q3,2.2,Mw,Q3,200,Q3,,Kaiser2013 Perrin2015 VanHoutte2017,
CHHC,D,196,Q1,>2,I,Q3,510,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
CMHS,D,213,Q1,0.71,Mw,Q1,45,Q1,,Wotherspoon2014 Wotherspoon2015,
CPFS,C,350,Q3,0.33,Mw,Q1,10,Q2,,VanHoutte2017,
CRLZ,B,900,Q2,0.9,Mw,Q1,0,Q1,,Kaiser2013 VanHoutte2012a,
CSBF,A,1500,Q3,-1,I,Q3,0,Q3,,Perrin2015,
CSHS,D,270,Q3,0.7,Mw,Q2,70,Q3,,Kaiser2013 Perrin2015,
CSTC,D,425,Q3,>2,I,Q3,330,Q3,,Lee2015 Perrin2015,
CUBS,D,250,Q3,0.7,Mw,Q2,48,Q2,,Semmens2010 VanHoutte2017,
CULC,D,270,Q3,1.2,I,Q3,100,Q3,,Perrin2015,
CVZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
D07C,E,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
D13C,B,1000,Q3,0.3,Mw,Q2,0,Q3,,Kaiser2013 Perrin2015 VanHoutte2012a,
D14C,B,1000,Q3,-1,Mn,Q1,0,Q3,,Kaiser2013 Perrin2015 VanHoutte2012a,
D15C,B,1000,Q3,-1,Mn,Q2,3,Q3,,Kaiser2013 Perrin2015 VanHoutte2012a,
DALS,E,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
DAVS,C,600,Q3,0.1,I,Q3,5,Q3,,,
DCDS,C,600,Q3,0.1,I,Q3,8,Q3,,Cousins1996,
DCZ,A,1500,Q3,-1,Mn,Q1,0,Q1,,VanHoutte2017,
DECF,A,1500,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
DFHS,D,270,Q3,0.9,Mw,Q3,400,Q3,,Kaiser2013 Lee2015 Perrin2015,
DGNS,C,600,Q3,0.1,Mw,Q3,10,Q3,,VanHoutte2017,
DHSS,C,690,Q3,0.1,I,Q3,8,Q3,,Perrin2015,
DKHS,D,210,Q3,0.63,Ms,Q1,40,Q3,,Perrin2015 VanHoutte2017 Stephenson1999,
DORC,D,270,Q3,>2,I,Q3,690,Q3,,Lee2015 Perrin2015,
DSLC,D,270,Q3,>2,I,Q3,440,Q3,,Lee2015 Perrin2015,
DSZ,C,450,Q3,0.33,Mw,Q2,40,Q2,,VanHoutte2017,
DUNS,C,500,Q2,0.17,Ms,Q1,9,Q2,,VanHoutte2017,
DVHS,C,360,Q3,0.58,Mw,Q3,55,Q3,,,
EAZ,B,1000,Q3,0.14,Mw,Q2,0,Q3,,Perrin2015 VanHoutte2017,
EBPS,C,540,Q2,0.38,Mw,Q3,7,Q2,,Kaiser2006b VanHoutte2017,
EKS1,B,900,Q3,<0.1,I,Q3,2,Q3,,,
EKS2,D,270,Q3,0.6,I,Q3,60,Q3,,Perrin2015,
EKS3,D,270,Q3,0.8,I,Q3,80,Q3,,Perrin2015,
EKTS,C,800,Q3,0.1,Mn,Q1,6,Q3,,VanHoutte2017,
EYRS,D,270,Q3,>2,I,Q3,490,Q3,,Kaiser2013 Lee2015 Perrin2015,
FAHS,D,270,Q3,0.67,Mw,Q1,60,Q3,,Perrin2015 VanHoutte2017,
FAIS,B,760,Q3,0.27,Mw,Q1,0,Q2,,VanHoutte2017,
FDCS,D,301,Q3,3,I,Q3,1000,Q3,,Cousins1996 VanHoutte2017,
FGPS,D,270,Q3,0.91,Mw,Q3,80,Q3,,Perrin2015 VanHoutte2017,
FJDS,D,210,Q3,0.67,Mw,Q3,60,Q3,,Perrin2015 VanHoutte2017,
FKPS,D,250,Q3,0.9,Mw,Q2,60,Q2,,Semmens2010 VanHoutte2017,some conflicts
FOZ,B,1000,Q3,-1,Mw,Q1,0,Q3,,Perrin2015 VanHoutte2017,
FTPS,D,270,Q3,1,Mw,Q2,90,Q3,,Perrin2015 VanHoutte2017,
FXBS,D,210,Q3,1.5,Ms,Q3,500,Q3,,Perrin2015 VanHoutte2017,
GDLC,D,270,Q3,>2,I,Q3,640,Q3,,Lee2015 Perrin2015,
GHHS,D,270,Q3,0.6,I,Q3,60,Q3,,Perrin2015,
GISS,D,138,Q2,1,Ms,Q1,40,Q3,,VanHoutte2017,
GKBS,B,800,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
GLWS,D,270,Q3,1,Mw,Q1,100,Q3,,Perrin2015 VanHoutte2017,
GMTS,D,210,Q3,1,Mw,Q1,70,Q3,,McVerry2011 Perrin2015 VanHoutte2017,McVerry2011 at 055A
GODS,B,760,Q3,1.15,Ms,Q2,0,Q3,,Kaiser2013 Perrin2015 VanHoutte2012a,
GORS,D,400,Q3,1,Ms,Q1,100,Q3,,VanHoutte2017,
GOVS,C,690,Q3,0.28,Ms,Q1,10,Q3,,Perrin2015 VanHoutte2017,
GRZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
GVZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
GWTS,D,245,Q3,1.5,I,Q3,125,Q3,,McVerry2011 VanHoutte2017,
HAFS,D,210,Q3,1,Mw,Q1,80,Q3,,Perrin2015 VanHoutte2017,
HALS,E,210,Q3,0.7,Ms,Q2,100,Q3,,Stephenson2011 Kaiser2013 Lee2015 Perrin2015,
HAVS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
HAZ,C,600,Q3,0.1,I,Q3,5,Q3,,Cousins1996 Perrin2015,
HCDS,D,182,Q2,>2,I,Q3,1000,Q3,,VanHoutte2017,
HDWS,D,210,Q3,0.87,Ms,Q1,100,Q3,,Perrin2015 VanHoutte2017,
HHSS,D,210,Q3,0.9,Ms,Q3,280,Q3,,Kaiser2013 Lee2015 Perrin2015,
HIBS,D,210,Q3,1,I,Q3,90,Q3,,Perrin2015,
HMCS,D,278,Q3,0.76,I,Q3,60,Q3,,McVerry2011 VanHoutte2017,
HNPS,D,425,Q3,0.8,Ms,Q3,300,Q3,,Perrin2015 VanHoutte2017,
HOCS,D,600,Q3,1.8,I,Q3,300,Q3,,McVerry2011 Perrin2015 VanHoutte2017,some conflicts with 240A in McVerry2011
HORC,D,270,Q3,>2,I,Q3,860,Q3,,Lee2015 Perrin2015,
HPSC,E,150,Q3,>2,I,Q3,640,Q3,,Lee2015 Perrin2015,
HSES,D,280,Q3,0.9,Mw,Q1,85,Q3,,VanHoutte2017,
HSSS,C,650,Q3,0.22,Mw,Q3,5,Q3,,VanHoutte2017,
HUKS,D,350,Q3,0.7,Ms,Q1,60,Q3,,VanHoutte2017,
HUNS,B,1000,Q3,-1,Mn,Q2,0,Q3,,Perrin2015 VanHoutte2012a,
HVSC,C,348,Q1,0.27,Ms,Q1,19,Q1,,Jeong2015 Kaiser2013 VanHoutte2012a Wotherspoon2014 Wotherspoon2015,
HWHS,C,210,Q2,0.6,Ms,Q2,12,Q2,,VanHoutte2017,
ICCS,D,210,Q3,0.77,Mw,Q2,50,Q3,,Perrin2015 VanHoutte2017,
IFPS,D,210,Q3,1.5,I,Q3,150,Q3,,Carpentier2013 Perrin2015,
INGS,C,270,Q3,0.33,Mw,Q2,40,Q3,,Perrin2015 VanHoutte2017,
INHS,D,330,Q3,1.5,I,Q3,200,Q3,,Perrin2015,
INSS,B,800,Q3,0.5,Mw,Q2,0,Q3,,VanHoutte2017,
INZ,B,1200,Q3,<0.1,I,Q3,0,Q3,,,
JCWJ,B,1000,Q3,<0.1,I,Q3,2,Q3,,Perrin2015,
JCZ,A,1500,Q3,<0.1,I,Q3,0,Q2,,,
KAFS,D,220,Q2,1.25,Mw,Q1,80,Q3,,VanHoutte2017,
KARS,D,210,Q3,0.87,Ms,Q2,70,Q3,,Perrin2015 VanHoutte2017,
KEKS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
KFHS,C,760,Q3,1.25,Mw,Q2,10,Q3,,Cousins1996 VanHoutte2017,
KHLS,B,900,Q3,0.1,I,Q3,10,Q3,,,
KHZ,C,600,Q3,0.1,Mn,Q2,5,Q3,,Perrin2015 VanHoutte2017,
KIKS,B,1000,Q3,-1,Mn,Q2,0,Q3,,VanHoutte2017,
KILS,E,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
KIRS,C,430,Q3,0.43,Ms,Q1,20,Q3,,VanHoutte2017,
KLDS,D,330,Q3,>2,I,Q3,420,Q3,,Perrin2015,
KNZ,B,1000,Q3,<0.1,I,Q3,0,Q2,,Perrin2015,
KOKS,D,210,Q3,>2,I,Q3,200,Q3,,Perrin2015,
KOWC,D,350,Q3,0.6,Ms,Q1,50,Q3,,Kaiser2013 VanHoutte2017,
KPOC,D,257,Q1,>2,I,Q3,700,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
KUZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
LBZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
LCQC,C,600,Q3,0.13,I,Q3,10,Q3,,,
LHBS,B,700,Q3,0.6,Mw,Q2,0,Q3,,VanHoutte2017,
LHES,D,240,Q3,1.16,I,Q3,280,Q3,,Boon2010,
LHRS,B,760,Q3,1.4,Mw,Q2,0,Q2,,VanHoutte2017,
LHUS,D,212,Q1,2,I,Q3,225,Q3,,Boon2010 Kaiser2006b Perrin2015,
LINC,D,210,Q3,>2,I,Q3,330,Q3,,Lee2015 Perrin2015,
LIRS,C,400,Q3,0.25,Mw,Q1,12,Q2,,VanHoutte2017,
LNBS,D,330,Q2,0.8,I,Q3,100,Q3,,Boon2010 Perrin2015 Kaiser2006b,
LPCC,B,760,Q3,0.15,Mw,Q2,5,Q3,,Kaiser2013 VanHoutte2012a,
LPLS,D,400,Q3,0.71,Mw,Q1,70,Q3,,VanHoutte2017,
LPOC,D,210,Q3,1.2,I,Q3,100,Q3,,Perrin2015,
LRSC,D,270,Q3,>2,I,Q3,950,Q3,,Lee2015 Perrin2015,
LRSS,D,230,Q3,1.4,I,Q3,175,Q3,711A,,
LSRC,D,270,Q3,1,Mw,Q3,80,Q3,,Kaiser2013 Perrin2015,
LTZ,B,1000,Q3,0.6,Mw,Q3,0,Q2,,Kaiser2013 Perrin2015,
MANS,A,1500,Q3,-1,I,Q3,0,Q3,,,
MAVS,D,390,Q3,1,Mw,Q3,450,Q3,,Cousins1996 Perrin2015 VanHoutte2017,
MAYC,D,270,Q3,>2,I,Q3,500,Q3,,Perrin2015,
MCAS,D,501,Q3,1.6,Mw,Q3,200,Q3,,McVerry2011 VanHoutte2017,McVerry2011 at 129A
MCNS,C,270,Q3,0.4,I,Q3,30,Q3,,Perrin2015,
MCPS,D,270,Q3,0.6,Mw,Q3,330,Q3,,Perrin2015 VanHoutte2017,
MECS,C,270,Q3,0.4,I,Q3,30,Q3,,Perrin2015 VanHoutte2017,
MENS,C,690,Q3,<0.1,I,Q3,5,Q3,,Perrin2015,
MGCS,D,210,Q3,1,Mw,Q3,70,Q3,,Perrin2015 VanHoutte2017,
MISS,D,200,Q1,1,Mw,Q1,60,Q1,,VanHoutte2017,
MKBS,B,1000,Q3,0,Mn,Q2,0,Q3,,Perrin2015 VanHoutte2017,
MKVS,C,480,Q3,0.17,Mw,Q3,12,Q3,,Perrin2015 VanHoutte2017,
MLZ,B,1100,Q3,-1,Mn,Q1,0,Q1,,VanHoutte2017,
MMCS,D,210,Q3,>2,I,Q3,2000,Q3,,Cousins1996 Perrin2015,
MNGS,D,270,Q3,0.8,Mw,Q2,80,Q3,,Perrin2015 VanHoutte2017,
MNZS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
MOLS,C,700,Q3,0.2,Mw,Q2,5,Q3,,Perrin2015 VanHoutte2017,
MORS,D,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
MOSS,C,400,Q3,0.4,Mw,Q3,40,Q3,,McVerry2011 VanHoutte2017,
MOTS,D,300,Q3,1.27,I,Q3,300,Q3,,McVerry2011 VanHoutte2017,
MPSS,D,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
MQZ,B,1000,Q3,0.1,Mw,Q2,0,Q3,,Kaiser2013 VanHoutte2012a,
MRSS,D,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
MRZ,B,800,Q3,0.33,Mw,Q2,0,Q1,,VanHoutte2017,
MSMC,D,270,Q3,0.8,I,Q3,80,Q3,,Perrin2015,
MSZ,A,1500,Q3,-1,Mn,Q1,0,Q1,,VanHoutte2017,
MSZS,B,1100,Q3,0.33,Mw,Q2,3,Q2,,VanHoutte2017,conflicts exist
MTHS,D,210,Q3,>2,I,Q3,510,Q3,,Lee2015 Perrin2015,
MTHZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
MTPS,B,1000,Q3,-1,Mn,Q2,3,Q3,D15C,,
MWDS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
MWFS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,conflicts exist with Cousins1996
MWZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,Perrin2015 VanHoutte2017,
MXZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,Perrin2015 VanHoutte2017,
NAAS,E,150,Q3,2,I,Q3,200,Q3,,Perrin2015,
NAMS,C,268,Q3,0.4,I,Q3,20,Q3,,McVerry2011 VanHoutte2017,
NBLC,D,189,Q1,3.8,Ma,Q2,590,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
NBSS,E,190,Q1,0.9,Ms,Q1,50,Q3,,Kaiser2006b VanHoutte2017,
NCBS,D,210,Q3,0.7,Mw,Q2,50,Q3,046A,,
NCDS,E,162,Q3,1.25,I,Q2,110,Q3,,VanHoutte2017,
NCHS,E,200,Q3,2.2,Mw,Q3,200,Q3,,VanHoutte2017,
NELS,B,1000,Q3,0.8,Mw,Q2,3,Q3,,Perrin2015 VanHoutte2017,
