Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
019D,Taupo Police Station,Stable,,"Concrete floor of 2-storey building, concrete block ground floor (garage) beneath timber framed and clad upper storey (accommodation). One side of Police station complex.(Approximate dimensions 7m x 10m)","Near lake outlet, old terrace level","Aratiatia (c. 5 km), Kaiapo (c. 5 km), Whakaipo (c. 7 km), Ngangiho (c. 10 km), Orakonui (c. 12 km)"
020A,Tuai Power Station,Stable,,Concrete floor of cable duct at base of massive concrete power house (occupied until December 1992),Floor of c. 200 m wide valley with moderately steep sides,"Waimana S (c. 11 km), Urewera 1 (c. 11 km) "
020B,Tuai Power Station,Stable,,"Concrete floor of light single-storey building adjacent to turbine hall (current location). Building has timber frame, hardboard interior lining, brick wall cladding, corrugated iron roof. (Approximate dimensions 6m x 6m)",Floor of c. 200 m wide valley with moderately steep sides,"Waimana S (c. 11 km), Urewera 1 (c. 11 km) "
021A,Reporoa Anchor Dairy Factory,Low Landslide Susceptibility,,Concrete floor of large single storey concrete block building with reinforced-concrete columns and corrugated iron roof (approx. 30m x 60m),"Flat site on flank of broad alluvial valley (infilled volcanic caldera, ?Reporoa Caldera?). Elevation 320m.","Paeroa (c. 8 km), Ngapouri (c. 8 km), TeWheta (c. 9 km), Orakonui (c. 11 km), Whirinaki E (c. 12 km)"
022A,Ohakuri Hydro,Stable,,Inside gallery near base of concrete gravity dam,In gorge of Waikato River,"Tuahu (c. 2 km), Maleme (c. 3 km), Ohakuri (c. 3 km), Puketerata (c. 5 km), Mangatete (c. 9 km)"
023A,New Plymouth Power Station,Stable,,"Accelerograph array on gas-fired power station and chimney. A - boiler house floor , B - no. 3 turbine block, C - 5th floor, D - chimney ground floor, E - chimney 4th floor, F - chimney 6th floor, G - chimney 8th floor",Reclaimed shallow bay. Basement excavated to c.15m below sea level.,"Turi S (c. 8 km), Inglewood (c. 16 km) "
024A,New Plymouth Post Office,Low Landslide Susceptibility,,Concrete floor in basement of 3 storey reinforced concrete building,Gently sloping land on coast,"Turi S (c. 11 km), Inglewood (c. 13 km), Norfolk (c. 19 km) "
025A,Hawera High School,Stable,,"Concrete floor of single storied building, mixed concrete block and timber frame construction",Flat marine terrace,Ararata (c. 5 km) 
027A,Napier Telephone Exchange Marewa,Stable,5,Concrete floor of high stud light single storey building,Flat site on floodplain of Tutaekuri River.,Napier 1931 (c. 4 km) 
027C,Napier Telephone Exchange Marewa,Stable,5,Concrete floor of high stud light single storey building,Flat site on floodplain of Tutaekuri River.,Napier 1931 (c. 4 km) 
027D,Napier Telephone Exchange Marewa,Stable,5,Concrete floor of high stud light single storey building,Flat site on floodplain of Tutaekuri River.,Napier 1931 (c. 4 km) 
027E,Napier Museum,Stable,,Ground (concrete) floor of large 2-storey reinforced concrete building (r-c frame and walls) (Approximate dimensions 20m x 40m),Beach ridge (gravel) 100m from the foot of Bluff Hill (limestone),Napier 1931 (c. 4 km) 
027F,Napier Museum,Stable,,Ground (concrete) floor of large 2-storey reinforced concrete building (r-c frame and walls) (Approximate dimensions 20m x 40m),Beach ridge (gravel) 100m from the foot of Bluff Hill (limestone),Napier 1931 (c. 4 km) 
027G,Napier Museum,Stable,,Ground (concrete) floor of large 2-storey reinforced concrete building (r-c frame and walls) (Approximate dimensions 20m x 40m),Beach ridge (gravel) 100m from the foot of Bluff Hill (limestone),Napier 1931 (c. 4 km) 
028A,Opotiki Shell Service Station,Low Liquefaction Susceptibility,,Concrete floor of light timber framed building with corrugated iron walls and roof,Partly coastal plain & flood plain of Otara & Waioeka Rivers (3km wide at site),"Raukumara F13 (c. 5 km), Urewera 3 (c. 9 km), Waikaremoana (c. 9 km), Raukumara F15 (c. 14 km), Waimana N (c. 15 km)"
029A,Hastings Civil Defence Headquarters,Stable,2,Concrete floor of concrete block building with light roof. The building also has r-c columns supporting steel roof I-beams. (Approximate dimensions 11m x 11m),"Near centre of broad (15km wide - 20km long) alluvial plain, about 10m above MSL.","Napier 1931 (c. 2 km), Tukituki  Thrust (c. 8 km), Waipukurau-Poukawa (c. 17 km) "
030A,Opotiki Fruit Bowl Orchard,Low Liquefaction Susceptibility,,Concrete floor in concrete block basement of light timber framed building,Flat land close to river,"Raukumara F13 (c. 6 km), Waikaremoana (c. 8 km), Urewera 3 (c. 10 km), Waimana N (c. 13 km), Raukumara F15 (c. 16 km)"
031A,Wanganui Police Station,Stable,,"Concrete floor of very light, timber framed building",Flat land. Site 150m from river edge of 1500m wide river terace; floodplain of Wanganui river,Nukumaru-Waitototara 1-6 (c. 23 km) 
032A,Waipawa Post Office,Stable,20,Concrete floor in basement of 2 storey reinforced concrete building,Low river terrrace (Waipawa River) in rolling hill countr,"Waipukurau-Poukawa (c. 2 km), Tukituki  Thrust (c. 5 km) "
033A,Dannevirke Telephone Exchange,Stable,,Concrete ground floor of 2 storey reinforced concrete building,"Intermediate level terrace (c 1km wide) between 2 streams, one cut down into bedrock.","Pahiatua (c. 4 km), Alfredton-Makuri (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km), Woodville (c. 11 km)"
033B,Dannevirke Telephone Exchange,Stable,,Concrete ground floor of 2 storey reinforced concrete building,"Intermediate level terrace (c 1km wide) between 2 streams, one cut down into bedrock.","Pahiatua (c. 4 km), Alfredton-Makuri (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km), Woodville (c. 11 km)"
033C,Dannevirke Post Office,Stable,,Concrete ground floor of 2 storey concrete block building,"Intermediate level terrace (c 1km wide) between 2 streams, one cut down into bedrock.","Pahiatua (c. 3 km), Alfredton-Makuri (c. 10 km), Woodville (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km)"
033D,Dannevirke Postal Sorting Room,Stable,,Concrete floor of single-storey reinforced-concrete shear-wall building (Approximate dimensions 6m x 20m),"Intermediate level terrace (c 1km wide) between 2 streams, one cut down into bedrock.","Pahiatua (c. 4 km), Alfredton-Makuri (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km), Woodville (c. 11 km)"
034A,Weber School,Low Landslide Susceptibility,,Concrete floor of light timber framed building,Degradational terrace covered with slumped regolith,"Pongaroa-Weber (c. 2 km), Saunders-Waipukaka (c. 3 km), Alfredton-Makuri (c. 15 km) "
035A,Weber Fire Station,Low Landslide Susceptibility,,"Concrete floor of light block and timber-framed building. Concrete block walls to 1m height, then timber. Corrugated-iron wall and roof claddings. (c. 8 m x 8 m)",Degradational terrace covered with slumped regolith,"Pongaroa-Weber (c. 2 km), Saunders-Waipukaka (c. 3 km), Alfredton-Makuri (c. 15 km) "
038A,Castlepoint Fire Station,Stable,5,Concrete floor of 1-storey building with concrete-block walls and iron roof (about 8m x 8m),Terrace at foot of low hill near sea shore.,"Hikurangi Subduction Zone, Carterton (c. 10 km), Mokonui NE (c. 19 km) "
039A,Masterton Telephone Exchange,Stable,,Concrete floor of cable duct in basement of 2 storey reinforced concrete building,Near centre of 10km wide fluvial flood plain within rolling hill country,"Masterton (c. 0.5 km), Mokonui SW (c. 6 km), Carterton (c. 6 km), Wairarapa-Nicholson (c. 9 km), Kaumingi (c. 15 km)"
039C,Masterton Telephone Exchange,Stable,,Concrete floor of cable duct in basement of 2 storey reinforced concrete building,Near centre of 10km wide fluvial flood plain within rolling hill country,"Masterton (c. 0.5 km), Mokonui SW (c. 6 km), Carterton (c. 6 km), Wairarapa-Nicholson (c. 9 km), Kaumingi (c. 15 km)"
039D,Masterton Telephone Exchange,Stable,,Concrete floor of cable duct in basement of 2 storey reinforced concrete building,Near centre of 10km wide fluvial flood plain within rolling hill country,"Masterton (c. 0.5 km), Mokonui SW (c. 6 km), Carterton (c. 6 km), Wairarapa-Nicholson (c. 9 km), Kaumingi (c. 15 km)"
039E,Masterton Telephone Exchange,Stable,,Concrete floor of cable duct in basement of 2 storey reinforced concrete building,Near centre of 10km wide fluvial flood plain within rolling hill country,"Masterton (c. 0.5 km), Mokonui SW (c. 6 km), Carterton (c. 6 km), Wairarapa-Nicholson (c. 9 km), Kaumingi (c. 15 km)"
040A,Ngawihi Fish Processing Factory,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, timber-framed, fibrolite-clad, industrial building",Narrow (about 200m wide) coastal plain (raised beach),"Hikurangi Subduction Zone, BooBoo (c. 9 km), Ngapotiki (c. 11 km), Otaraia (c. 11 km), Dry Huangaroa (c. 14 km)"
041A,Lake Ferry Fire Station,Low Liquefaction Susceptibility,,Concrete floor of light timber framed building,Narrow strip (c.200m wide) on shore of lake at foot of 40m wave cut slope,"Otaraia (c. 6 km), Dry Huangaroa (c. 9 km), Wairarapa-Nicholson (c. 11 km), Whitemans (c. 20 km), "
042A,Hanmer Springs Fire Station,Stable,2.5,Concrete floor of single storey concrete block building,"Flat site on alluvium, 300m from edge of 6km wide tectonic basin.","Hanmer (c. 0.2 km), Hope-Conway (c. 5 km), Hope-Conway OS (c. 5 km), Hope 1888 (c. 7 km), Clarence NE (c. 14 km)"
043A,Dunedin GNS,Stable,,Concrete ground floor of 2 storey reinforced concrete building. Piled.,"North Dunedin, flat site on floor of 0.5km wide valley.",Akatore (c. 15 km) 
043B,Dunedin GNS,Stable,,Concrete ground floor of 2 storey reinforced concrete building. Piled.,"North Dunedin, flat site on floor of 0.5km wide valley.",Akatore (c. 15 km) 
044A,Dunedin St Kilda Fire Station,Stable,5,"Concrete floor of 1-storey, steel framed, brick clad building",Flat land close to Musselburgh Hill (edge of a major basin of soft material).,Akatore (c. 12 km) 
045A,Nelson Telephone Exchange,Stable,1.4,Concrete ground floor of 2 storey reinforced concrete building,"Small (1km) delta/floodplain, coastal area adjoining hilly terrain.",Waimea N (c. 4 km) 
046A,Nelson Council Building,Stable,,At base of reinforced concrete tubular stair-well and clocktower on outside corner of 7 storey reinforced concrete frame building,Flat land (site on 1850 shoreland),Waimea N (c. 4 km) 
047A,Nelson Employment Resource Centre,Stable,,"Concrete ground floor of 2 storey house, timber frame, weatherboard cladding, iron roof.",Side of low ridge,Waimea N (c. 3 km) 
048A,Blenheim Telephone Exchange,Stable,2,Concrete ground floor of 2 storey reinforced concrete building (occupied until August 1985).,Flat site on 12km wide flood plain of Wairau/Taylor rivers.,"Wairau (c. 5 km), Wairau Offshore (c. 11 km), Awatere NE (c. 15 km) "
048B,Blenheim Telephone Exchange,Stable,2,Concrete ground floor of 2 storey reinforced concrete building (occupied until August 1985).,Flat site on 12km wide flood plain of Wairau/Taylor rivers.,"Wairau (c. 5 km), Wairau Offshore (c. 11 km), Awatere NE (c. 15 km) "
048C,Blenheim Telephone Exchange,Stable,2,Concrete ground floor of 2 storey reinforced concrete building (occupied until August 1985).,Flat site on 12km wide flood plain of Wairau/Taylor rivers.,"Wairau (c. 5 km), Wairau Offshore (c. 11 km), Awatere NE (c. 15 km) "
048D,Blenheim Post Office,Stable,2,Concrete floor in basement of 6 storey reinforced concrete building (adjacent to telephone exchange). Building on piles.,Flat site on 12km wide flood plain of Wairau/Taylor rivers.,"Wairau (c. 5 km), Wairau Offshore (c. 11 km), Awatere NE (c. 15 km) "
049A,Inchbonnie (camp creek hut),Low Landslide Susceptibility,3,Concrete floor of light timber framed building.,On fan at mouth of stream crossing scarp along Alpine Fault.,"Alpine (Kaniere-Tophouse) (c. 0.6 km), Hope-TARA (c. 6 km), Kelly (c. 14 km), Browning (c. 16 km), "
050A,Motueka DOC,Stable,,"Concrete floor of light, 1-storey, wooden building with iron roof",Flat alluvial plain near coast,Waimea N (c. 30 km) 
051A,Westport Telephone Exchange,High Liquefaction Susceptibility,15,"Sites 051A, B, C, 266A. Concrete floor of single storey concrete walled building (occupied until March 1993).","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
051B,Westport Telephone Exchange,High Liquefaction Susceptibility,15,"Sites 051A, B, C, 266A. Concrete floor of single storey concrete walled building (occupied until March 1993).","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
051C,Westport Telephone Exchange,High Liquefaction Susceptibility,15,"Sites 051A, B, C, 266A. Concrete floor of single storey concrete walled building (occupied until March 1993).","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
051D,Westport Buller District Council,High Liquefaction Susceptibility,15,"Sites 051D, 266B, WBCS. Concrete floor of steel-framed garage (occupied post March 1993).","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
052A,Reefton Forestry Headquarters,Stable,15,"Concrete floor of timber framed building, weatherboard cladding",Flat site on floor of broad (2km wide) fluvial valley in low hill country.,"Maimai (c. 11 km), Inangahua (c. 14 km) "
053A,Maruia Springs Hotel,Low Landslide Susceptibility,,Concrete floor of reinforced concrete frame single storey building,Flat terrace site above Maruia River in narrow (c. 0.5km wide) valley,"Awatere SW (c. 5 km), Alpine (Kaniere-Tophouse) (c. 9 km), Fowlers (c. 13 km), Clarence SW (c. 17 km), "
054A,Haast DOC Workshop,Stable,,"Concrete floor of light, 1-storey, timber-framed shed, galvanised iron cladding (about 20m x 20m)",Broad (>2km wide) flat coastal plain close to Haast River,Alpine (Fiordland-Kaniere) (c. 3 km) 
055A,Greymouth Telecom,Low Liquefaction Susceptibility,5,Concrete floor of 2 storey reinforced concrete building,Flat site on coastal flood plain (1.5km wide).,Brunner  Anticline (c. 9 km) 
056A,Nelson Substation,Low Landslide Susceptibility,,Concrete floor of small concrete block kiosk,"Flank of hill, 5m above valley floor",Waimea N (c. 3 km) 
057A,Hokitika Post Office,Low Landslide Susceptibility,10,Concrete floor of massive reinforced concrete 2 storey building,Flat site on coastal plain.,Brunner  Anticline (c. 14 km) 
057B,Hokitika Telecom Line Depot,Low Landslide Susceptibility,10,Concrete floor of concrete-block garage with iron roof,Flat site on coastal plain.,Brunner  Anticline (c. 14 km) 
057C,Hokitika Medical Centre,Low Landslide Susceptibility,10,Concrete floor of concrete-block garage with iron roof (occupied 19/06/92 to present),Flat site on coastal plain.,Brunner  Anticline (c. 14 km) 
058A,Reefton DOC,Stable,,"Concrete floor of light, 1-storey, timber-framed building with steel-clad walls and roof.",Flat site on floor of broad (2km wide) fluvial valley in low hill country.,"Maimai (c. 11 km), Inangahua (c. 14 km) "
059A,Cobb Dam (tunnel portal),Stable,,Concrete floor of small building with concrete block walls,On small terrace at base of steep ridge,White Creek (c. 41 km) 
060A,Cheviot Post Office,Stable,6,Concrete floor of light timber garage,Flat site in low rolling country (East margin of Cheviot syncline),"Kaiwara N (c. 7 km), Kaiwara S (c. 9 km), Hundalee (c. 14 km), Lowry (c. 19 km), "
060B,Cheviot Police Station,Stable,6,Concrete floor of light timber garage,Flat site in low rolling country (East margin of Cheviot syncline),"Kaiwara N (c. 7 km), Kaiwara S (c. 9 km), Hundalee (c. 14 km), Lowry (c. 19 km), "
060C,Cheviot Emergency Centre,Stable,6,"Concrete floor of 1 storey building, concrete block walls, galvanised iron roof.",Flat site in low rolling country (East margin of Cheviot syncline),"Kaiwara N (c. 7 km), Kaiwara S (c. 9 km), Hundalee (c. 14 km), Lowry (c. 19 km), "
061A,Waitaha Valley (EARSS site),Stable,,On concrete pad (approx 2m x 2m) on top of granite outcrop.,On top of a rounded outcrop of ice-scraped granite projecting a few metres above the floor of a broad alluvial valley.,Alpine (Fiordland-Kaniere) (c. 3 km) 
061B,Waitaha Valley (implement shed),Stable,,On concrete floor of light timber framed building with corrugated iron roof,Floor of a broad alluvial valley.,Alpine (Fiordland-Kaniere) (c. 4 km) 
061C,Waitaha Valley (EARSS site),Stable,,On concrete pad (approx 2m x 2m) on top of granite outcrop.,On top of a rounded outcrop of ice-scraped granite projecting a few metres above the floor of a broad alluvial valley.,Alpine (Fiordland-Kaniere) (c. 3 km) 
062A,Franz Joseph DOC,Stable,,Concrete floor of light timber-framed galvanised iron clad shed.,"On flat land, close to 20m scarp.  ",Alpine (Fiordland-Kaniere) (c. 1 km) 
063A,Mount Mary,High Landslide Susceptibility,,Concrete floor of concrete shed,Top of Mt Mary (highest part of steep sided ridge),"Irishman Creek (c. 9 km), Ostler (c. 17 km) "
064A,Mount Cook National Park Headquarters,Low Landslide Susceptibility,,"Concrete floor of basement of 2-storey building, timber-framed, iron wall and roof cladding",Undulating ground close to foot of steep slope,Ostler (c. 24 km) 
065A,Simons Pass,Stable,,Free field site,End of rocky spur.,"Irishman Creek (c. 14 km), Ostler (c. 16 km) "
066A,Lake Paringa,Stable,,"Concrete floor of light timber shed. Wooden walls, corrugated iron roof. ""Old generator shed"" at the Heritage Lodge.",On flat land near Lake Paringa. ,Alpine (Fiordland-Kaniere) (c. 3 km) 
066B,Lake Paringa,Stable,,"Concrete floor of light timber shed. Wooden walls, corrugated iron roof (at the Heritage Lodge.)",On flat land near Lake Paringa.,Alpine (Fiordland-Kaniere) (c. 3 km) 
067A,Opuha Dam,Stable,,"Concrete floor of concrete ""water tank"" shed resting on concrete spillway structure","True right bank of Ophua river valley, 50m above river level","Fox Pk (c. 12 km), Brothers (c. 13 km), Albury (c. 14 km), Hutt-Peel (c. 19 km), "
067B,Opuha Dam,Stable,,Mounted on inside of wall of (circular) power house. Founded on rock.,"True left bank of Ophua river valley, c. 5 m above river level","Fox Pk (c. 12 km), Brothers (c. 13 km), Albury (c. 15 km), Hutt-Peel (c. 19 km), "
068B,Milford Sound EARSS Shed,Low Landslide Susceptibility,,"Concrete floor in basement of light timber framed shed, weatherboard walls, corrugated iron roof.",Gently sloping alluvial site 2m from side of narrow rock spur,"Hollyford (c. 13 km), Alpine (Fiordland-Kaniere) (c. 18 km) "
070A,Te Anau Fire Station,Low Liquefaction Susceptibility,4,"Stiff concrete block & reinforced concrete framed, single storey building on slab floor",Flat site on river delta near Lake Te Anau,Te Anau (c. 2 km) 
073A,Dunedin Chief Post Office,Low Landslide Susceptibility,,Concrete floor in basement of 9 storey reinforced-concrete stone-faced building.,"Close to old shore line, on edge of alluvium.",Akatore (c. 13 km) 
074A,Dunedin Civil Defence,Low Landslide Susceptibility,,Concrete ground floor of 10-storey reinforced concrete building,"North Dunedin, flat site on floor of 0.5km wide valley",Akatore (c. 13 km) 
077A,Invercargill Telecom,Stable,,Concrete ground floor of 3 storey reinforced concrete building,Flat site. Marine bench near mouth of river,Hokonui (c. 55 km) 
077B,Invercargill Telecom,Stable,,Concrete ground floor of 3 storey reinforced concrete building,Flat site. Marine bench near mouth of river,Hokonui (c. 55 km) 
078A,Haast Telephone Exchange Generator Room,Stable,,"Concrete floor of light, 1-storey, timber framed galv. iron clad shed","Flat site on coastal plain, river delta, swamp ponded behind beach",Alpine (Fiordland-Kaniere) (c. 7 km) 
079A,Taihape Post Office,Low Landslide Susceptibility,,Concrete floor of single storey wooden framed building,Flat terrace site (1km wide terrace),"Taihape (c. 0.7 km), Rangitikei (c. 3 km), Mataroa (c. 5 km), Snowgrass (c. 17 km), Rangipo S (c. 20 km)"
080A,Milford Sound Hotel,Low Landslide Susceptibility,,Concrete floor in basement of 3 storey reinforced concrete hotel accomodation block. Galvanised iron roof,Gently sloping alluvial site 20m from end of narrow rock spur,"Hollyford (c. 13 km), Alpine (Fiordland-Kaniere) (c. 18 km) "
080B,Milford Sound Hotel,Low Landslide Susceptibility,,Concrete floor in basement of 3 storey reinforced concrete hotel accomodation block. Galvanised iron roof,Gently sloping alluvial site 20m from end of narrow rock spur,"Hollyford (c. 13 km), Alpine (Fiordland-Kaniere) (c. 18 km) "
081A,Turangi Telephone Exchange,Stable,20,Concrete floor of cable duct beneath 1-storey concrete building?,Flat terrace site.,"Poutu (c. 4 km), Waihi E (c. 7 km), Waihi W (c. 10 km), Treetrunk (c. 10 km), Waihi S (c. 17 km)"
081B,Turangi Fire Station,Stable,20,Concrete floor of brick veneer single-storey building (probably timber framed) attached to fire station (which has steel frame),Flat terrace site.,"Poutu (c. 4 km), Waihi E (c. 7 km), Treetrunk (c. 9 km), Waihi W (c. 10 km), Waihi S (c. 17 km)"
081C,Turangi Fire Station,Stable,20,Concrete floor of brick veneer single-storey building (probably timber framed) attached to fire station (which has steel frame),Flat terrace site.,"Poutu (c. 4 km), Waihi E (c. 7 km), Treetrunk (c. 9 km), Waihi W (c. 10 km), Waihi S (c. 17 km)"
082A,Te Araroa Post Office,Low Liquefaction Susceptibility,3,Concrete floor of light single storey wooden building,"Semicircular coastal plain, with site c500m from toe of hill.",East Cape (c. 15 km) 
083A,Te Kuha,Stable,,"Free field site, concrete slab attached to rock outcrop",Ledge (railway cutting) near base of steep sided ridge adjacent to Buller River,"Paparoa RF (c. 1 km), Inangahua (c. 19 km) "
084A,Benmore Dam,Stable,,"Accelerograph array on large earth/rockfill hydro dam (110m high, 820m long). A - Floor of concrete gauge house, 7 metres below ground level, left side of dam (facing downstream - true left), near base of dam (rock site), B to G on dam.",Dam founded in bedrock.,"Fern Gully (c. 3 km), Waitangi (c. 8 km), Dryburgh (c. 12 km), Otematata (c. 12 km), "
085D,Matahina Dam,Stable,,"Accelerograph array on earth/rockfill hydro dam (79m high, 360m long). Site  D - On ground 2m from base of dam, centre (A - crest true left, B - crest centre, C - mid-height center, E - crest right, F - grouting gallery left abutment mid-height, G - gauge room left abutment mid-height)",Valley floor of Rangitaiki river (c. 500m wide),"Waiohau N (c. 0.6 km), Awakeri (c. 4 km), Edgecumbe 1987 (c. 10 km), Rotoiti (c. 11 km), Braemar (c. 16 km)"
085M,Matahina Dam,Stable,,"Accelerograph array on earth/rockfill hydro dam (79m high, 360m long). Site  M - on ground 20m from base of dam, centre (H - grouting gallery, base, true left, J - crest centre, K - crest true right, L - abutment crest true left, N - on ground 40m from base of dam, true left)",Valley floor of Rangitaiki river (c. 500m wide),"Waiohau N (c. 0.7 km), Awakeri (c. 4 km), Edgecumbe 1987 (c. 10 km), Rotoiti (c. 12 km), Braemar (c. 16 km)"
085N,Matahina Dam,Stable,,"Accelerograph array on earth/rockfill hydro dam (79m high, 360m long). Site  N - on ground 40m from base of dam, true left (H, grouting gallery, base, true left, J - crest centre, K - crest true right, L - abutment crest true left, M - on ground 20m from base of dam, centre)",Valley floor of Rangitaiki river (c. 500m wide),"Waiohau N (c. 0.5 km), Awakeri (c. 4 km), Edgecumbe 1987 (c. 10 km), Rotoiti (c. 11 km), Braemar (c. 15 km)"
086A,Kaipara Harbour A (Oyster point),Low Landslide Susceptibility,,Free field site. Accelerograph mounted on small concrete pad.,Half-way up a gentle hill slope at southern end of Kaipara Harbour,Wairoa N (c. 68 km) 
086B,Kaipara Harbour B (Kawau Bay),Low Landslide Susceptibility,,Free field site. Accelerograph mounted on small concrete pad.,On flat terrace 5m from edge of 30m high sea cliff,Wairoa N (c. 90 km) 
087A,Atene A (Puketapu),High Landslide Susceptibility,1,Free field site. Small concrete plinth on rock.Prone to extensive deep-seated landslides and superficial shallow slides and earthflows,"Rock site on top of steep sided, 250m high, conical hill",Nukumaru-Waitototara 1-6 (c. 25 km) 
