Location,Name,Sensor,Type,Unit,Description
OT011,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT011,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT011,boron,B-w,water sample,mg/L,B concentration in a water sample
OT011,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT011,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT011,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT011,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT011,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT011,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT011,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT011,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT011,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT011,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT011,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT011,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT011,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT011,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT011,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT011,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT011,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT011,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT012,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT012,boron,B-w,water sample,mg/L,B concentration in a water sample
OT012,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT012,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT012,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT012,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT012,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT012,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT012,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT012,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT012,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT012,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT012,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT012,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT012,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT013,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT013,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT013,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT013,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT013,boron,B-w,water sample,mg/L,B concentration in a water sample
OT013,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT013,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT013,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT013,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT013,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT013,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT013,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT013,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT013,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT013,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT013,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT013,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT013,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT013,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT013,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT013,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT013,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT013,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT014,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT014,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT014,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT014,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT014,boron,B-w,water sample,mg/L,B concentration in a water sample
OT014,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT014,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT014,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT014,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT014,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT014,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT014,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT014,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT014,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT014,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT014,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT014,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT014,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT014,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT014,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT014,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT014,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT014,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT015,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT015,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT015,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT015,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT015,boron,B-w,water sample,mg/L,B concentration in a water sample
OT015,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT015,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT015,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT015,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT015,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT015,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT015,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT015,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT015,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT015,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT015,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT015,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT015,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT015,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT015,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT015,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT015,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT015,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT016,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT016,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT016,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT016,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT016,boron,B-w,water sample,mg/L,B concentration in a water sample
OT016,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT016,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT016,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT016,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT016,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT016,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT016,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT016,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT016,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT016,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT016,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT016,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT016,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT016,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT016,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT016,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT016,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT016,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT017,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT017,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT017,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT017,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT017,boron,B-w,water sample,mg/L,B concentration in a water sample
OT017,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT017,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT017,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT017,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT017,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT017,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT017,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT017,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT017,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT017,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT017,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT017,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT017,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT017,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT017,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT017,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT017,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT017,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT018,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT018,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT018,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT018,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT018,boron,B-w,water sample,mg/L,B concentration in a water sample
OT018,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT018,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT018,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT018,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT018,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT018,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT018,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT018,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT018,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT018,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT018,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT018,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT018,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT018,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT018,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT018,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT018,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT018,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT019,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT019,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT019,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT019,boron,B-w,water sample,mg/L,B concentration in a water sample
OT019,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT019,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT019,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT019,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT019,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT019,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT019,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT019,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT019,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT019,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT019,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT019,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT019,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT020,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT020,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT021,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT021,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT021,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT021,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT021,boron,B-w,water sample,mg/L,B concentration in a water sample
OT021,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT021,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT021,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT021,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT021,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT021,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT021,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT021,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT021,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT021,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT021,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT021,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT021,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT021,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT021,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT021,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT021,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
OT021,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
OT022,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
OT022,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
OT022,arsenic,As-w,water sample,mg/L,As concentration in a water sample
OT022,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
OT022,boron,B-w,water sample,mg/L,B concentration in a water sample
OT022,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
OT022,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
OT022,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
OT022,flourine,F-w,water sample,mg/L,F concentration in a water sample
OT022,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
OT022,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
OT022,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
OT022,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
OT022,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
OT022,ph,ph,sample,,degree of acidity or alkalinity of a sample
OT022,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
OT022,potassium,K-w,water sample,mg/L,K concentration in a water sample
OT022,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
OT022,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
OT022,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
OT022,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
OT022,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RL001,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RL001,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RL001,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RL001,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RL001,boron,B-w,water sample,mg/L,B concentration in a water sample
RL001,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RL001,caesium,Cs-w,water sample,mg/L,Cs concentration in a water sample
RL001,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RL001,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RL001,flourine,F-w,water sample,mg/L,F concentration in a water sample
RL001,height,straight edge,ruler,m,height straightedge ruler
RL001,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RL001,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RL001,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RL001,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RL001,ph,ph,sample,,degree of acidity or alkalinity of a sample
RL001,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RL001,potassium,K-w,water sample,mg/L,K concentration in a water sample
RL001,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RL001,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RL001,rubidium,Rb-w,water sample,mg/L,Rb concentration in a water sample
RL001,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RL001,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RL001,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RL001,temperature,mercury,thermometer,C,temperature mercury thermometer
RL001,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RL001-1,height,straight edge,ruler,m,height straightedge ruler
RL002,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RL002,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RL002,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RL002,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RL002,boron,B-w,water sample,mg/L,B concentration in a water sample
RL002,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RL002,caesium,Cs-w,water sample,mg/L,Cs concentration in a water sample
RL002,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RL002,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RL002,flourine,F-w,water sample,mg/L,F concentration in a water sample
RL002,height,straight edge,ruler,m,height straightedge ruler
RL002,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RL002,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RL002,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RL002,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RL002,ph,ph,sample,,degree of acidity or alkalinity of a sample
RL002,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RL002,potassium,K-w,water sample,mg/L,K concentration in a water sample
RL002,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RL002,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RL002,rubidium,Rb-w,water sample,mg/L,Rb concentration in a water sample
RL002,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RL002,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RL002,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RL002,temperature,mercury,thermometer,C,temperature mercury thermometer
RL002,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RL003,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RL003,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RL003,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RL003,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RL003,boron,B-w,water sample,mg/L,B concentration in a water sample
RL003,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RL003,caesium,Cs-w,water sample,mg/L,Cs concentration in a water sample
RL003,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RL003,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
