Code,Description,Latitude,Longitude,Elevation,Datum,RelativeHeight
RL003-1,"Raoul Island Oneraki Beach, sea",-29.24923,-177.91678,0,WGS84,
RL004,Raoul Island Eastern Pool,-29.26207,-177.91902,10,WGS84,
RL005,Raoul Island Marker Bay,-29.26231,-177.92025,10,WGS84,
RL006-1,"Raoul Island, Green Lake, hot ground site 1",-29.264281,-177.921582,10,WGS84,
RL006-2,"Raoul Island, Green Lake, hot ground site 2",-29.264281,-177.921582,10,WGS84,
RL006-3,"Raoul Island, Green Lake, hot ground site 3",-29.264281,-177.921582,10,WGS84,
RL006-4,"Raoul Island, Green Lake, hot ground site 4",-29.264281,-177.921582,10,WGS84,
RL006-5,"Raoul Island, Green Lake, hot ground site 5",-29.264281,-177.921582,10,WGS84,
RL007,"Raoul Island, Met Station, ambient ground temperature site",-29.24454,-177.929182,45,WGS84,
RP001,"Reporoa, Loop Road Pool No. 2",-38.412777,176.361682,297,WGS84,
RP002,"Reporoa, Loop Road Spring No. 3",-38.411323,176.36238,297,WGS84,
RP003,"Reporoa, Loop Road Spring No. 4",-38.41151,176.363077,297,WGS84,
RR001,"Rotorua, Ngapuna Stopbank Spring",-38.142485,176.268123,280,WGS84,
RR002,"Rotorua, THC Blowout",-38.160474,176.258417,294,WGS84,
RR003,"Rotorua, Rachel Spring",-38.136443,176.257237,284,WGS84,
RR004,"Rotorua, JC Fountain Spring",-38.131879,176.245052,287,WGS84,
RR005,"Rotorua, Ohinemutu Little Waikite Geyser",-38.128862,176.247767,288,WGS84,
RR1021,"Rotorua, Alternative Polynesian Spa Well",-38.13841,176.258413,284,WGS84,
RR1076,"Rotorua, Northern Polynesian Spa Well",-38.137369,176.257931,284,WGS84,
RR12183,"Rotorua, Aquatic Centre Well 2017",-38.133856,176.244663,285,WGS84,
RR887,"Rotorua, Polynesian Spa Well",-38.138443,176.258517,284,WGS84,
RR913,"Rotorua, Aquatic Centre Well",-38.133828,176.244377,285,WGS84,
RU000,Ruapehu Volcano,-39.281281,175.564369,2529,WGS84,
RU001,Ruapehu Crater Lake Outlet,-39.2835,175.5654,2529,WGS84,
RU002,"Ruapehu Crater Lake, Whole Lake",-39.281281,175.564369,2529,WGS84,
RU003,Ruapehu Crater Lake Central Vent,-39.2816,175.565,2529,WGS84,
RU004,Ruapehu Crater Lake North Vent,-39.2798,175.5649,2529,WGS84,
RU020,"Ruapehu, Silica Rapids",-39.224927,175.527965,1280,WGS84,
SSTEST,Steve's house,-38.69188,176.08323,381,WGS84,
TO000,Tongariro Volcano,-39.1097012189,175.672065034,1530,WGS84,
TO001,Upper Te Maari fumarole #1,-39.1090650632,175.674585616,1530,WGS84,
TO001A,Upper Te Maari fumarole #1A,-39.1089930208,175.674582822,1530,WGS84,
TO001B,Upper Te Maari fumarole #1B,-39.1085015938,175.675165363,1530,WGS84,
TO002,Upper Te Maari fumarole #2,-39.1093854136,175.671312369,1530,WGS84,
TO003,Upper Te Maari fumarole #3,-39.1097012189,175.672065034,1530,WGS84,
TO004,Upper Te Maari fumarole #4,-39.109030009,175.670326794,1530,WGS84,
TO005,Upper Te Maari fumarole #5,-39.1079870137,175.667914773,1530,WGS84,
TO006,Upper Te Maari fumarole #6,-39.1091520061,175.668202785,1530,WGS84,
TO006A,Upper Te Maari fumarole #6A,-39.1092150433,175.668205223,1530,WGS84,
TO006B,Upper Te Maari fumarole #6B,-39.10924496,175.66824184,1530,WGS84,
TO015,Lower Te Maari fumarole #15,-39.106219222,175.669882497,1530,WGS84,
TO030,Tongariro Central Crater fumarole,-39.1318457,175.651733,1727,WGS84,
TO031,Ketetahi fumarole,-39.106893,175.647549,1396,WGS84,
TO032,Tongariro Oturere fumarole,-39.1350028,175.656264,1697,WGS84,
TO033,Tongariro Red Crater fumarole,-39.134455,175.653476,1752,WGS84,
TO034,Tongariro Emerald Lake fumarole,-39.134096,175.655708,1707,WGS84,
TO050,"Tongariro, Blue Lake",-39.125853,175.659012,1740,WGS84,
TO051,"Tongariro, Lower Tama Lake",-39.200689,175.60419,1230,WGS84,
TO052,"Tongariro, Upper Tama Lake",4.38323299999999,-39.187799,1315,WGS84,
TO053,"Tongariro, Soda Springs",-39.139467,175.625869,1370,WGS84,
TO054,"Tongariro, Ketetahi Black Cauldron",-39.106545,175.647856,1392,WGS84,
TO055,"Tongariro, Ketetahi Upper (Fe) Spring",-39.107912,175.647573,1433,WGS84,
TO056,"Tongariro, Ketetahi Stream (Lower)",-39.106196,175.647368,1381,WGS84,
TO057,"Tongariro, Ketetahi Stream Headwaters",-39.107894,175.647596,1432,WGS84,
TO060,"Tongariro, Upper Emerald Lake",-39.134251,175.654487,1738,WGS84,
TO061,"Tongariro, Middle Emerald Lake",-39.134123,175.654552,1736,WGS84,
TO062,"Tongariro, Lower Emerald Lake",-39.133667,175.656721,1700,WGS84,
TO063,"Tongariro, Lower Emerald Spring",-39.133929,175.656303,1700,WGS84,
TO301,Tongariro Lower Te Maari,-39.103059,175.670477,1406,WGS84,
TO302,Tongariro Base Te Maari,-39.105132,175.680437,1390,WGS84,
TO311,Tongariro Blue Lake (BL),-39.126169,175.664788,1740,WGS84,
TO312,Tongariro Te Tatau (TT),-39.121511,175.686547,1695,WGS84,
TP001,Acacia Bay,-38.7081769673,176.027604531,358.581,WGS84,
TP002,Bulli Point,-38.886879354,175.958538482,358.042,WGS84,
TP003,Horomatangi,-38.8129247167,175.996271373,358.21,WGS84,
TP004,Kawakawa,-38.6807308825,175.81912044,357.511,WGS84,
TP005,Kinloch,-38.6632868402,175.921572713,358.417,WGS84,
TP006,Kaiapo,-38.7115885092,175.976009824,358.502,WGS84,
TP007,Motuoapa,-38.9315773413,175.874797252,357.721,WGS84,
TP008,Motutaiko,-38.8558085341,175.943852732,357.928,WGS84,
TP009,Mine Point,-38.7243532357,175.979121787,358.175,WGS84,
TP010,Omori,-38.9002105343,175.762487952,359.063,WGS84,
TP011,Omoho,-38.6606420484,175.853465328,357.684,WGS84,
TP012,Rangatira,-38.736008151,176.010605527,357.687,WGS84,
TP013,Rotongaio,-38.7948922703,176.073977533,357.128,WGS84,
TP015,Scenic Bay,-38.8194227789,175.81099532,358.087,WGS84,
TP016,Te Itarata,-38.7046986938,175.916776277,357.259,WGS84,
TP017,Tangingatahi,-38.7783103715,175.78571152,358.15,WGS84,
TP018,Te Kauwae,-38.678601988,175.87439643,357.594,WGS84,
TP019,Waihaha,-38.7282181573,175.743966088,357.675,WGS84,
TP020,Waihi,-38.9508362533,175.745287962,357.399,WGS84,
TP021,Waikarariki,-38.7108395366,175.961572465,357.98,WGS84,
TP022,Whakaipo,-38.6862807812,175.963024087,359.655,WGS84,
TP041,"Taupo, Tokaanu No. 31D Spring - Teretere",-38.968018,175.764548,360,WGS84,
TP042,"Taupo, Tokaanu No. 5 Pool",-38.968055,175.763013,360,WGS84,
TP043,"Taupo, Tokaanu Taumatapuhipuhi Geyser",-38.967761,175.76508,360,WGS84,
TP044,"Taupo, Tokaanu Sintered Spring",-38.968739,175.762336,368,WGS84,
TP045,"Taupo, Tokaanu Baths Bore - well TA3",-38.966988,175.763895,360,WGS84,
WI000,White Island Volcano,-37.521716,177.183495,20,WGS84,
WI001,White Island soil gas 001,-37.5258669984,177.19142059,0,WGS84,
WI002,White Island soil gas 002,-37.5251955222,177.19250252,0,WGS84,
WI003,White Island soil gas 003,-37.5251178978,177.190946481,0,WGS84,
WI004,White Island soil gas 004,-37.5250565783,177.189923665,0,WGS84,
WI005,White Island soil gas 005,-37.5249052376,177.191330426,0,WGS84,
WI006,White Island soil gas 006,-37.5248340658,177.191790585,0,WGS84,
WI007,White Island soil gas 007,-37.5248198517,177.190226933,0,WGS84,
WI008,White Island soil gas 008,-37.5243511559,177.193381805,0,WGS84,
WI009,White Island soil gas 009,-37.5244232148,177.190464236,0,WGS84,
WI010,White Island soil gas 010,-37.5243499592,177.189033043,0,WGS84,
WI011,White Island soil gas 011,-37.5241956782,177.191979779,0,WGS84,
WI012,White Island soil gas 012,-37.5242584388,177.193206515,0,WGS84,
WI013,White Island soil gas 013,-37.5239514332,177.191025561,0,WGS84,
WI014,White Island soil gas 014,-37.5238746235,177.190420868,0,WGS84,
WI015,White Island soil gas 015,-37.5239028763,177.188440706,0,WGS84,
WI016,White Island soil gas 016,-37.5236981797,177.189096908,0,WGS84,
WI017,White Island soil gas 017,-37.5236487789,177.188482495,0,WGS84,
WI018,White Island soil gas 018,-37.5235024789,177.189266674,0,WGS84,
WI019,White Island soil gas 019,-37.5234042972,177.191673074,0,WGS84,
WI020,White Island soil gas 020,-37.5233910989,177.192272505,0,WGS84,
WI021,White Island soil gas 021,-37.5233289097,177.193220135,0,WGS84,
WI022,White Island soil gas 022,-37.5235135715,177.190184613,0,WGS84,
WI023,White Island soil gas 023,-37.5235141888,177.187976356,0,WGS84,
WI024,White Island soil gas 024,-37.5234444849,177.187666524,0,WGS84,
WI025,White Island soil gas 025,-37.5230934866,177.191054715,0,WGS84,
WI026,White Island soil gas 026,-37.5229706048,177.192179988,0,WGS84,
WI027,White Island soil gas 027,-37.5231424382,177.186810879,0,WGS84,
WI028,White Island soil gas 028,-37.5230649982,177.186953578,0,WGS84,
WI029,White Island soil gas 029,-37.522900724,177.189684516,0,WGS84,
WI030,White Island soil gas 030,-37.5229944886,177.188614164,0,WGS84,
WI031,White Island soil gas 031,-37.5229768939,177.187627906,0,WGS84,
WI032,White Island soil gas 032,-37.5226589381,177.186714716,0,WGS84,
WI033,White Island soil gas 033,-37.5225494776,177.186991439,0,WGS84,
WI034,White Island soil gas 034,-37.5224054929,177.191365583,0,WGS84,
WI035,White Island soil gas 035,-37.5225011395,177.187566163,0,WGS84,
WI036,White Island soil gas 036,-37.5223420853,177.189912354,0,WGS84,
WI037,White Island soil gas 037,-37.5223175948,177.190329927,0,WGS84,
WI038,White Island soil gas 038,-37.5223694616,177.186493984,0,WGS84,
WI039,White Island soil gas 039,-37.5221851026,177.188793398,0,WGS84,
WI040,White Island soil gas 040,-37.5222437022,177.188185302,0,WGS84,
WI041,White Island soil gas 041,-37.5221740122,177.18933632,0,WGS84,
WI042,White Island soil gas 042,-37.5219429301,177.188269663,0,WGS84,
WI043,White Island soil gas 043,-37.521754939,177.18652607,0,WGS84,
WI044,White Island soil gas 044,-37.5215368824,177.189004686,0,WGS84,
WI045,White Island soil gas 045,-37.5216318875,177.187413508,0,WGS84,
WI046,White Island soil gas 046,-37.5215640589,177.186809363,0,WGS84,
WI047,White Island soil gas 047,-37.5215138509,177.188165345,0,WGS84,
WI048,White Island soil gas 048,-37.5213574841,177.187272926,0,WGS84,
WI049,White Island soil gas 049,-37.521178752,177.188202405,0,WGS84,
WI050,White Island soil gas 050,-37.5211845927,177.187070324,0,WGS84,
WI051,White Island soil gas 051,-37.5211190695,177.186647504,0,WGS84,
WI052,White Island soil gas 052,-37.5208207947,177.186177133,0,WGS84,
WI053,White Island soil gas 053,-37.5203988781,177.188315417,0,WGS84,
WI054,White Island soil gas 054,-37.5206722241,177.187753843,0,WGS84,
WI055,White Island soil gas 055,-37.5204488725,177.186721637,0,WGS84,
WI056,White Island soil gas 056,-37.5198025442,177.187125557,0,WGS84,
WI057,White Island soil gas 057,-37.5208737886,177.187912822,0,WGS84,
WI058,White Island soil gas 058,-37.5236835184,177.188031539,0,WGS84,
WI059,White Island soil gas 059,-37.5238472013,177.188482754,0,WGS84,
WI060,White Island soil gas 060,-37.5236872947,177.188903754,0,WGS84,
WI061,White Island soil gas 061,-37.52370739,177.189335262,0,WGS84,
WI062,White Island soil gas 062,-37.5236069234,177.189612511,0,WGS84,
WI063,White Island soil gas 063,-37.5233532442,177.189642995,0,WGS84,
WI064,White Island soil gas 064,-37.5233599401,177.188975237,0,WGS84,
WI065,White Island soil gas 065,-37.5234367528,177.188606011,0,WGS84,
WI066,White Island soil gas 066,-37.5233953066,177.188263855,0,WGS84,
WI067,White Island soil gas 067,-37.5232169608,177.187234235,0,WGS84,
WI068,White Island soil gas 068,-37.5232129907,177.187585064,0,WGS84,
WI069,White Island soil gas 069,-37.5231828559,177.187911716,0,WGS84,
WI070,White Island soil gas 070,-37.5231569049,177.188125367,0,WGS84,
WI071,White Island soil gas 071,-37.5231389099,177.188611271,0,WGS84,
WI072,White Island soil gas 072,-37.5231160983,177.188983648,0,WGS84,
WI073,White Island soil gas 073,-37.5231223788,177.189301102,0,WGS84,
WI074,White Island soil gas 074,-37.5231089837,177.189662704,0,WGS84,
WI075,White Island soil gas 075,-37.5228716297,177.189252486,0,WGS84,
WI076,White Island soil gas 076,-37.5228931866,177.188914011,0,WGS84,
WI077,White Island soil gas 077,-37.5228986229,177.188280157,0,WGS84,
WI078,White Island soil gas 078,-37.522930014,177.187919606,0,WGS84,
WI079,White Island soil gas 079,-37.5229486288,177.187173276,0,WGS84,
WI080,White Island soil gas 080,-37.5229421271,177.186617997,0,WGS84,
WI081,White Island soil gas 081,-37.522726541,177.186594092,0,WGS84,
WI082,White Island soil gas 082,-37.5227525018,177.186867394,0,WGS84,
WI083,White Island soil gas 083,-37.5227240425,177.187148844,0,WGS84,
WI084,White Island soil gas 084,-37.522711491,177.187487845,0,WGS84,
WI085,White Island soil gas 085,-37.5226886829,177.187860221,0,WGS84,
WI086,White Island soil gas 086,-37.5226658737,177.188232596,0,WGS84,
WI087,White Island soil gas 087,-37.5226554115,177.188515097,0,WGS84,
WI088,White Island soil gas 088,-37.5226305074,177.188943971,0,WGS84,
WI089,White Island soil gas 089,-37.5226200435,177.189226472,0,WGS84,
WI090,White Island soil gas 090,-37.5225788109,177.189609095,0,WGS84,
WI091,White Island soil gas 091,-37.5223607128,177.189166031,0,WGS84,
WI092,White Island soil gas 092,-37.5223998512,177.188839909,0,WGS84,
WI093,White Island soil gas 093,-37.5224124067,177.18850091,0,WGS84,
WI094,White Island soil gas 094,-37.5224471462,177.188049961,0,WGS84,
WI095,White Island soil gas 095,-37.5225182817,177.186615912,0,WGS84,
WI096,White Island soil gas 096,-37.5222608383,177.186748106,0,WGS84,
WI097,White Island soil gas 097,-37.5222662882,177.187088156,0,WGS84,
WI098,White Island soil gas 098,-37.5222258995,177.187448178,0,WGS84,
WI099,White Island soil gas 099,-37.5222231841,177.187765102,0,WGS84,
WI100,White Island Level A,-37.5258858363,177.19139904,0,WGS84,
WI101,White Island Level B,-37.5250484154,177.189900538,2.843,WGS84,
WI102,White Island Level C,-37.5236877091,177.188405495,5.777,WGS84,
WI103-1,White Island Level D1,-37.5235240259,177.187954281,7.869,WGS84,
WI103-2,White Island Level D2,-37.5235240259,177.187954281,9.568,WGS84,
WI103-3,White Island Level D3,-37.5235240259,177.187954281,10.429,WGS84,
WI104-1,White Island Level E1,-37.5233871364,177.187753773,8.854,WGS84,
WI104-2,White Island Level E2,-37.5234179028,177.187653647,10.746,WGS84,
WI105,White Island Level F,-37.5224479753,177.187540411,8.675,WGS84,
WI106,White Island Level G,-37.521569723,177.187387232,14.387,WGS84,
WI107-1,White Island Level H1,-37.5208746255,177.187890223,8.895,WGS84,
WI107-2,White Island Level H2,-37.5208746255,177.187890223,10.311,WGS84,
WI108-1,White Island Level I1,-37.5216247914,177.18906644,7.962,WGS84,
WI108-2,White Island Level I2,-37.5216247914,177.18906644,8.55,WGS84,
WI109-1,White Island Level J1,-37.5228818864,177.189706065,5.762,WGS84,
WI109-2,White Island Level J2,-37.5228818864,177.189706065,8.06,WGS84,
WI110,White Island Level K,-37.523311773,177.192222572,3.63,WGS84,
WI111,White Island Level L,-37.524695487,177.192609196,0.853,WGS84,
WI112-1,White Island Level M1,-37.5231097841,177.186718377,13.527,WGS84,
WI112-2,White Island Level M2,-37.5231097841,177.186718377,15.832,WGS84,
WI112-3,White Island Level M3,-37.5231097841,177.186718377,16.97,WGS84,
WI113,White Island Level N,-37.5230168539,177.186792225,15.215,WGS84,
WI114-1,White Island Level O1,-37.522662703,177.186613016,16.816,WGS84,
WI114-2,White Island Level O2,-37.522662703,177.186613016,18.53,WGS84,
WI115-1,White Island Level P1,-37.5224079722,177.186428285,20.402,WGS84,
WI115-2,White Island Level P2,-37.5224079722,177.186428285,18.88,WGS84,
WI116-1,White Island Level U1,-37.5215648956,177.186786763,16.46,WGS84,
WI116-2,White Island Level U2,-37.5215648956,177.186786763,21.73,WGS84,
WI116-3,White Island Level U3,-37.5215648956,177.186786763,21.917,WGS84,
WI117-1,White Island Level V1,-37.521747612,177.186480346,10.62,WGS84,
WI117-2,White Island Level V2,-37.521747612,177.186480346,17.393,WGS84,
WI118,White Island Level W,-37.5213055748,177.187213275,14.251,WGS84,
WI119-1,White Island Level Z1,-37.5208040492,177.186142183,20.149,WGS84,
WI119-2,White Island Level Z2,-37.5208040492,177.186142183,23.804,WGS84,
WI119-3,White Island Level Z2,-37.5208040492,177.186142183,23.804,WGS84,
WI120-1,White Island Level AA1,-37.5210181785,177.186449106,19.676,WGS84,
WI120-2,White Island Level AA2,-37.5210181785,177.186449106,21.088,WGS84,
WI121-1,White Island Level AB1,-37.5211339384,177.186976774,16.4,WGS84,
WI121-2,White Island Level AB2,-37.5211339384,177.186976774,17.471,WGS84,
WI121-3,White Island Level AB3,-37.5211339384,177.186976774,19.626,WGS84,
WI122-1,White Island Level AC1,-37.5204243819,177.186652263,22.09,WGS84,
WI122-2,White Island Level AC2,-37.5204243819,177.186652263,23.191,WGS84,
WI150,White Island soil gas 150,-37.5219450154,177.187726217,0,WGS84,
WI151,White Island soil gas 151,-37.5219933542,177.187151497,0,WGS84,
WI152,White Island soil gas 152,-37.5220140682,177.186835624,0,WGS84,
WI153,White Island soil gas 153,-37.5217836251,177.186969392,0,WGS84,
WI154,White Island soil gas 154,-37.521777564,177.187376714,0,WGS84,
WI200,White Island Crater Lake,-37.521716,177.183495,20,WGS84,
WI201,"White Island, Crater Lake",-37.522837,177.185932,15,WGS84,
WI210,White Island Fumarole 0,-37.5239,177.188,20,WGS84,
WI211,"White Island, 2012 Dome Fumarole",-37.5217,177.1837,-5,WGS84,
WI220,"White Island, Acid Stream at Beach",-37.526413,177.191769,1,WGS84,
WI220-1,"White Island, Acid Stream at Beach",-37.526413,177.191769,1,WGS84,
WI220-2,"White Island, Acid Stream above Confluence",-37.524239,177.190057,1,WGS84,
WI220-3,"White Island, Acid Stream below Confluence",-37.524196,177.189998,1,WGS84,
WI221,"White Island, Black Pot Spring",-37.525391,177.190384,4,WGS84,
WI221-1,"White Island, Little Black Pot Spring",-37.525391,177.190384,4,WGS84,
WI221-2,"White Island, Little Black Pot Spring North",-37.525443,177.190444,4,WGS84,
WI221-3,"White Island, Little Black Pot Spring South",-37.525443,177.190444,4,WGS84,
WI222,"White Island, Ted's Head Spring",-37.523359,177.188748,8,WGS84,
WI223,"White Island, Sulphur Cave Spring",-37.524153,177.188013,8,WGS84,
WI224,"White Island, Sulphur Wall Collapse",-37.523392,177.186082,10,WGS84,
WI225-1,"White Island, Cindy's Mistake NW Pool",-37.52382,177.187982,10,WGS84,
WI225-2,"White Island, Cindy's Mistake SE Pool",-37.52382,177.187982,10,WGS84,
WI226,"White Island, Iron Stream",-37.523597,177.188649,8,WGS84,
WI226-1,"White Island, Iron Stream at Confluence",-37.523597,177.188649,8,WGS84,
WI226-2,"White Island, Iron Stream above Confluence",-37.524241,177.19,8,WGS84,
WI227,"White Island, Fumarole 13 Pool",-37.52188,177.189942,9,WGS84,
WI228,"White Island, Yellow Duck Stream",-37.520946,177.186671,24,WGS84,
WI301,White Island North-East Point,-37.51669,177.1929793,30,WGS84,
WI302,White Island South Rim,-37.526533,177.189013,65,WGS84,
